,p_resolution,p_experiment,p_doi,p_chain_uniprot_map,p_chains,p_pmid,p_ec_numbers,p_space_group,p_deposition_date,p_chemicals
1F8M,1.8,X-RAY DIFFRACTION,10.1038/77964,"{'A': ['P9WKK7'], 'C': ['P9WKK7'], 'B': ['P9WKK7'], 'D': ['P9WKK7']}","['A', 'B', 'C', 'D']",10932251,"[('A', ['4.1.3.1']), ('B', ['4.1.3.1']), ('C', ['4.1.3.1']), ('D', ['4.1.3.1'])]",P 21 21 21,30-JUN-00,"['MG', 'PYR']"
1G2O,1.75,X-RAY DIFFRACTION,10.1021/BI010585P,"{'A': ['P9WP01'], 'C': ['P9WP01'], 'B': ['P9WP01']}","['A', 'C', 'B']",11444966,"[('A', ['2.4.2.1']), ('C', ['2.4.2.1']), ('B', ['2.4.2.1'])]",P 32 2 1,20-OCT-00,"['IMH', 'PO4']"
1G3U,1.95,X-RAY DIFFRACTION,10.1006/JMBI.2001.4843,{'A': ['P9WKE1']},['A'],11469859,"[('A', ['2.7.4.9'])]",P 65 2 2,25-OCT-00,"['TMP', 'MG', 'SO4']"
1GN2,3.4,X-RAY DIFFRACTION,10.1006/ABBI.2001.2635,"{'A': ['P9WGE6'], 'C': ['PDB-C'], 'B': ['P9WGE6'], 'E': ['P9WGE6'], 'D': ['P9WGE6'], 'G': ['P9WGE6'], 'F': ['P9WGE6'], 'H': ['P9WGE6']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'H']",11747311,"[('A', ['1.15.1.1']), ('C', ['1.15.1.1']), ('B', ['1.15.1.1']), ('E', ['1.15.1.1']), ('D', ['1.15.1.1']), ('G', ['1.15.1.1']), ('F', ['1.15.1.1']), ('H', ['1.15.1.1'])]",P 1 21 1,02-OCT-01,['FE']
1GN3,4.0,X-RAY DIFFRACTION,10.1046/J.1432-1327.1998.2510795.X,"{'A': ['P9WGE7'], 'B': ['P9WGE7']}","['A', 'B']",9490054,"[('A', ['1.15.1.1']), ('B', ['1.15.1.1'])]",P 31 2 1,02-OCT-01,['FE']
1GN4,2.5,X-RAY DIFFRACTION,10.1046/J.1432-1327.1998.2510795.X,"{'A': ['P9WGE6'], 'C': ['P9WGE6'], 'B': ['P9WGE6'], 'D': ['P9WGE6']}","['A', 'C', 'B', 'D']",9490054,"[('A', ['1.15.1.1']), ('C', ['1.15.1.1']), ('B', ['1.15.1.1']), ('D', ['1.15.1.1'])]",P 21 21 21,02-OCT-01,['MN']
1GN6,2.9,X-RAY DIFFRACTION,10.1016/0014-5793(96)00490-5,"{'A': ['P9WGE6'], 'C': ['P9WGE6'], 'B': ['P9WGE6'], 'D': ['P9WGE6']}","['A', 'C', 'B', 'D']",8674528,"[('A', ['1.15.1.1']), ('C', ['1.15.1.1']), ('B', ['1.15.1.1']), ('D', ['1.15.1.1'])]",P 1 21 1,03-OCT-01,['FE']
1GR0,1.95,X-RAY DIFFRACTION,10.1016/S0969-2126(02)00718-9,{'A': ['P9WKI1']},['A'],12005437,"[('A', ['5.5.1.4'])]",P 4 21 2,10-DEC-01,"['ZN', 'NAD', 'CAC']"
1GSI,1.6,X-RAY DIFFRACTION,10.1107/S0907444902002135,{'A': ['P9WKE1']},['A'],11914484,"[('A', ['2.7.4.9'])]",P 65 2 2,03-JAN-02,"['TMP', 'MG', 'ACT', 'SO4']"
1GTV,1.55,X-RAY DIFFRACTION,10.1107/S0907444902002135,"{'A': ['P9WKE1'], 'B': ['P9WKE1']}","['A', 'B']",11914484,"[('A', ['2.7.4.9']), ('B', ['2.7.4.9'])]",P 65 2 2,21-JAN-02,"['TMP', 'ACT', 'SO4', 'MG', 'TYD']"
1H05,1.5,X-RAY DIFFRACTION,10.1016/S0014-5793(02)03346-X,{'A': ['P9WPX7']},['A'],12387860,"[('A', ['4.2.1.10'])]",F 2 3,11-JUN-02,['SO4']
1H0R,2.1,X-RAY DIFFRACTION,,{'A': ['P9WPX7']},['A'],,"[('A', ['4.2.1.10'])]",F 2 3,27-JUN-02,"['GOL', 'CL', 'FA1', 'PO4']"
1H0S,1.7,X-RAY DIFFRACTION,,{'A': ['P9WPX7']},['A'],,"[('A', ['4.2.1.10'])]",F 2 3,27-JUN-02,"['SO4', 'GOL', 'FA6']"
1HKV,2.6,X-RAY DIFFRACTION,10.1074/JBC.M301549200,"{'A': ['P9WIU7'], 'B': ['P9WIU7']}","['A', 'B']",12637582,"[('A', ['4.1.1.20']), ('B', ['4.1.1.20'])]",P 41 21 2,11-MAR-03,"['PLP', 'LYS']"
1HKW,2.8,X-RAY DIFFRACTION,10.1074/JBC.M301549200,"{'A': ['P9WIU7'], 'B': ['P9WIU7']}","['A', 'B']",12637582,"[('A', ['4.1.1.20']), ('B', ['4.1.1.20'])]",P 41 21 2,11-MAR-03,"['SO4', 'MSE']"
1HTO,2.4,X-RAY DIFFRACTION,10.1021/BI020254S,"{'A': ['P9WN39'], 'C': ['P9WN39'], 'B': ['P9WN39'], 'E': ['P9WN39'], 'D': ['P9WN39'], 'G': ['P9WN39'], 'F': ['P9WN39'], 'I': ['P9WN39'], 'H': ['P9WN39'], 'K': ['P9WN39'], 'J': ['P9WN39'], 'M': ['P9WN39'], 'L': ['P9WN39'], 'O': ['P9WN39'], 'N': ['P9WN39'], 'Q': ['P9WN39'], 'P': ['P9WN39'], 'S': ['P9WN39'], 'R': ['P9WN39'], 'U': ['P9WN39'], 'T': ['P9WN39'], 'W': ['P9WN39'], 'V': ['P9WN39'], 'X': ['P9WN39']}","['V', 'A', 'C', 'B', 'E', 'D', 'G', 'F', 'I', 'H', 'K', 'J', 'M', 'L', 'O', 'N', 'Q', 'P', 'R', 'U', 'W', 'X', 'S', 'T']",12146952,"[('V', ['6.3.1.2']), ('A', ['6.3.1.2']), ('C', ['6.3.1.2']), ('B', ['6.3.1.2']), ('E', ['6.3.1.2']), ('D', ['6.3.1.2']), ('G', ['6.3.1.2']), ('F', ['6.3.1.2']), ('I', ['6.3.1.2']), ('H', ['6.3.1.2']), ('K', ['6.3.1.2']), ('J', ['6.3.1.2']), ('M', ['6.3.1.2']), ('L', ['6.3.1.2']), ('O', ['6.3.1.2']), ('N', ['6.3.1.2']), ('Q', ['6.3.1.2']), ('P', ['6.3.1.2']), ('R', ['6.3.1.2']), ('U', ['6.3.1.2']), ('W', ['6.3.1.2']), ('X', ['6.3.1.2']), ('S', ['6.3.1.2']), ('T', ['6.3.1.2'])]",P 21 21 21,01-JAN-01,"['CIT', 'AMP', 'MN']"
1HTQ,2.4,X-RAY DIFFRACTION,10.1021/BI020254S,"{'A': ['P9WN39'], 'C': ['P9WN39'], 'B': ['P9WN39'], 'E': ['P9WN39'], 'D': ['P9WN39'], 'G': ['P9WN39'], 'F': ['P9WN39'], 'I': ['P9WN39'], 'H': ['P9WN39'], 'K': ['P9WN39'], 'J': ['P9WN39'], 'M': ['P9WN39'], 'L': ['P9WN39'], 'O': ['P9WN39'], 'N': ['P9WN39'], 'Q': ['P9WN39'], 'P': ['P9WN39'], 'S': ['P9WN39'], 'R': ['P9WN39'], 'U': ['P9WN39'], 'T': ['P9WN39'], 'W': ['P9WN39'], 'V': ['P9WN39'], 'X': ['P9WN39']}","['V', 'F', 'A', 'C', 'B', 'E', 'D', 'G', 'I', 'H', 'K', 'J', 'M', 'L', 'O', 'N', 'Q', 'P', 'R', 'U', 'W', 'X', 'S', 'T']",12146952,"[('V', ['6.3.1.2']), ('F', ['6.3.1.2']), ('A', ['6.3.1.2']), ('C', ['6.3.1.2']), ('B', ['6.3.1.2']), ('E', ['6.3.1.2']), ('D', ['6.3.1.2']), ('G', ['6.3.1.2']), ('I', ['6.3.1.2']), ('H', ['6.3.1.2']), ('K', ['6.3.1.2']), ('J', ['6.3.1.2']), ('M', ['6.3.1.2']), ('L', ['6.3.1.2']), ('O', ['6.3.1.2']), ('N', ['6.3.1.2']), ('Q', ['6.3.1.2']), ('P', ['6.3.1.2']), ('R', ['6.3.1.2']), ('U', ['6.3.1.2']), ('W', ['6.3.1.2']), ('X', ['6.3.1.2']), ('S', ['6.3.1.2']), ('T', ['6.3.1.2'])]",P 21 21 21,01-JAN-01,"['CIT', 'AMP', 'MN']"
1HZP,2.1,X-RAY DIFFRACTION,10.1074/JBC.M010762200,"{'A': ['P9WNG3'], 'B': ['P9WNG3']}","['A', 'B']",11278743,"[('A', ['2.3.1.41']), ('B', ['2.3.1.41'])]",P 1 21 1,25-JAN-01,"['GOL', 'DAO']"
1I80,2.0,X-RAY DIFFRACTION,10.1021/BI010585P,"{'A': ['P9WP01'], 'C': ['P9WP01'], 'B': ['P9WP01']}","['A', 'C', 'B']",11444966,"[('A', ['2.4.2.1']), ('C', ['2.4.2.1']), ('B', ['2.4.2.1'])]",P 21 21 2,12-MAR-01,"['IMR', 'PO4', '9HX']"
1IDS,2.0,X-RAY DIFFRACTION,10.1006/JMBI.1994.0105,"{'A': ['P9WGE6'], 'C': ['P9WGE6'], 'B': ['P9WGE6'], 'D': ['P9WGE6']}","['A', 'C', 'B', 'D']",7877174,"[('A', ['1.15.1.1']), ('C', ['1.15.1.1']), ('B', ['1.15.1.1']), ('D', ['1.15.1.1'])]",P 1 21 1,29-SEP-94,['FE']
1K44,2.6,X-RAY DIFFRACTION,10.1002/PROT.10113.ABS,"{'A': ['P9WJH7'], 'C': ['P9WJH7'], 'B': ['P9WJH7'], 'E': ['P9WJH7'], 'D': ['P9WJH7'], 'F': ['P9WJH7']}","['A', 'C', 'B', 'F', 'D', 'E']",12001234,"[('A', ['2.7.4.6']), ('C', ['2.7.4.6']), ('B', ['2.7.4.6']), ('F', ['2.7.4.6']), ('D', ['2.7.4.6']), ('E', ['2.7.4.6'])]",P 21 21 21,05-OCT-01,
1KPI,2.65,X-RAY DIFFRACTION,10.1074/JBC.M111698200,{'A': ['P9WPB5']},['A'],11756461,"[('A', ['2.1.1.79'])]",I 41 2 2,30-DEC-01,"['SO4', 'CO3', 'SAH', '10A']"
1L1E,2.0,X-RAY DIFFRACTION,10.1074/JBC.M111698200,"{'A': ['P9WPB3'], 'B': ['P9WPB3']}","['A', 'B']",11756461,"[('A', ['2.1.1.79']), ('B', ['2.1.1.79'])]",P 65,15-FEB-02,"['CO3', 'SAH']"
1L4U,1.8,X-RAY DIFFRACTION,10.1016/S0022-2836(02)00339-X,{'A': ['P9WPY3']},['A'],12054870,"[('A', ['2.7.1.71'])]",P 32 2 1,05-MAR-02,"['EPE', 'MG', 'PT', 'CL', 'ADP']"
1L4Y,2.0,X-RAY DIFFRACTION,10.1016/S0022-2836(02)00339-X,{'A': ['P9WPY3']},['A'],12054870,"[('A', ['2.7.1.71'])]",P 32 2 1,06-MAR-02,"['MG', 'CL', 'ADP']"
1LQT,1.05,X-RAY DIFFRACTION,10.1021/BI025858A,"{'A': ['P9WIQ3'], 'B': ['P9WIQ3']}","['A', 'B']",12102623,,P 21 21 21,13-MAY-02,"['ODP', 'ACT', 'FAD']"
1LQU,1.25,X-RAY DIFFRACTION,10.1021/BI025858A,"{'A': ['P9WIQ3'], 'B': ['P9WIQ3']}","['A', 'B']",12102623,,P 21 21 21,13-MAY-02,"['ACT', 'NDP', 'FAD']"
1M1M,2.7,X-RAY DIFFRACTION,10.1074/JBC.M413216200,"{'A': ['P9WNG3'], 'B': ['P9WNG3']}","['A', 'B']",16040614,"[('A', ['2.3.1.41']), ('B', ['2.3.1.41'])]",C 1 2 1,19-JUN-02,
1MOP,1.6,X-RAY DIFFRACTION,10.1110/PS.0241803,"{'A': ['P9WIL5'], 'B': ['P9WIL5']}","['B', 'A']",12717031,"[('B', ['6.3.2.1']), ('A', ['6.3.2.1'])]",P 1 21 1,09-SEP-02,"['SO4', 'GOL', 'EOH']"
1MQ7,1.95,X-RAY DIFFRACTION,10.1016/J.JMB.2004.06.028,{'A': ['P9WNS5']},['A'],15276840,"[('A', ['3.6.1.23'])]",I 2 3,13-SEP-02,['TRS']
1MRN,2.45,X-RAY DIFFRACTION,10.1074/JBC.M209630200,{'A': ['P9WKE1']},['A'],12454011,"[('A', ['2.7.4.9'])]",P 65 2 2,18-SEP-02,"['SO4', 'MG', 'T5A']"
1MRS,2.0,X-RAY DIFFRACTION,10.1074/JBC.M209630200,{'A': ['P9WKE1']},['A'],12454011,"[('A', ['2.7.4.9'])]",P 65 2 2,18-SEP-02,"['SO4', 'MG', '5HU']"
1N2B,1.7,X-RAY DIFFRACTION,10.1110/PS.0241803,"{'A': ['P9WIL5'], 'B': ['P9WIL5']}","['A', 'B']",12717031,"[('A', ['6.3.2.1']), ('B', ['6.3.2.1'])]",P 1 21 1,22-OCT-02,"['EOH', 'PAF', 'GOL', 'SO4', 'MG', 'APC']"
1N2E,1.6,X-RAY DIFFRACTION,10.1110/PS.0241803,"{'A': ['P9WIL5'], 'B': ['P9WIL5']}","['A', 'B']",12717031,"[('A', ['6.3.2.1']), ('B', ['6.3.2.1'])]",P 1 21 1,22-OCT-02,"['EOH', 'PAF', 'GOL', 'SO4', 'MG', 'APC']"
1N2G,1.8,X-RAY DIFFRACTION,10.1110/PS.0241803,"{'A': ['P9WIL5'], 'B': ['P9WIL5']}","['A', 'B']",12717031,"[('A', ['6.3.2.1']), ('B', ['6.3.2.1'])]",P 1 21 1,22-OCT-02,"['EOH', 'GOL', 'SO4', 'MG', 'APC']"
1N2H,2.0,X-RAY DIFFRACTION,10.1110/PS.0241803,"{'A': ['P9WIL5'], 'B': ['P9WIL5']}","['A', 'B']",12717031,"[('A', ['6.3.2.1']), ('B', ['6.3.2.1'])]",P 1 21 1,22-OCT-02,"['EOH', 'PAJ', 'GOL', 'SO4', 'MN']"
1N2I,1.7,X-RAY DIFFRACTION,10.1110/PS.0241803,"{'A': ['P9WIL5'], 'B': ['P9WIL5']}","['B', 'A']",12717031,"[('B', ['6.3.2.1']), ('A', ['6.3.2.1'])]",P 1 21 1,22-OCT-02,"['SO4', 'GOL', 'EOH', 'PAJ']"
1N2J,1.8,X-RAY DIFFRACTION,10.1110/PS.0241803,"{'A': ['P9WIL5'], 'B': ['P9WIL5']}","['A', 'B']",12717031,"[('A', ['6.3.2.1']), ('B', ['6.3.2.1'])]",P 1 21 1,22-OCT-02,"['EOH', 'PAF', 'BAL', 'GOL', 'SO4']"
1N2O,2.1,X-RAY DIFFRACTION,10.1110/PS.0241803,"{'A': ['P9WIL5'], 'B': ['P9WIL5']}","['A', 'B']",12717031,"[('A', ['6.3.2.1']), ('B', ['6.3.2.1'])]",P 21 21 21,23-OCT-02,"['SO4', 'BAL']"
1N3I,1.9,X-RAY DIFFRACTION,10.1021/BI0343830,"{'A': ['PDB-A'], 'C': ['PDB-C'], 'B': ['PDB-B']}","['A', 'C', 'B']",12755607,"[('A', ['2.4.2.1']), ('C', ['2.4.2.1']), ('B', ['2.4.2.1'])]",P 32 2 1,28-OCT-02,"['DIH', 'PO4']"
1N5I,1.85,X-RAY DIFFRACTION,10.1016/S0022-2836(03)00202-X,{'A': ['P9WKE1']},['A'],12662932,"[('A', ['2.7.4.9'])]",P 65 2 2,06-NOV-02,"['TMP', 'SO4', 'FLC', 'ATP']"
1N5J,1.85,X-RAY DIFFRACTION,10.1016/S0022-2836(03)00202-X,{'A': ['P9WKE1']},['A'],12662932,"[('A', ['2.7.4.9'])]",P 65 2 2,06-NOV-02,"['SO4', 'MG', 'TYD', 'TTP']"
1N5K,2.1,X-RAY DIFFRACTION,10.1016/S0022-2836(03)00202-X,"{'A': ['P9WKE1'], 'B': ['P9WKE1']}","['A', 'B']",12662932,"[('A', ['2.7.4.9']), ('B', ['2.7.4.9'])]",P 31 2 1,06-NOV-02,"['TMP', 'MG', 'ACT']"
1N5L,2.3,X-RAY DIFFRACTION,10.1016/S0022-2836(03)00202-X,"{'A': ['P9WKE1'], 'B': ['P9WKE1']}","['A', 'B']",12662932,"[('A', ['2.7.4.9']), ('B', ['2.7.4.9'])]",P 31 2 1,06-NOV-02,"['TMP', 'ACT', 'DPO', 'MG', 'TYD']"
1NBU,1.6,X-RAY DIFFRACTION,10.1016/J.JMB.2005.03.023,"{'A': ['P9WNC5'], 'C': ['P9WNC5'], 'B': ['P9WNC5'], 'E': ['P9WNC5'], 'D': ['P9WNC5'], 'G': ['P9WNC5'], 'F': ['P9WNC5'], 'H': ['P9WNC5']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'H']",15876368,"[('A', ['4.1.2.25']), ('C', ['4.1.2.25']), ('B', ['4.1.2.25']), ('E', ['4.1.2.25']), ('D', ['4.1.2.25']), ('G', ['4.1.2.25']), ('F', ['4.1.2.25']), ('H', ['4.1.2.25'])]",P 1 21 1,03-DEC-02,['PH2']
1NH7,2.7,X-RAY DIFFRACTION,10.1074/JBC.M212124200,{'A': ['P9WMN1']},['A'],12511575,"[('A', ['2.4.2.17'])]",H 3 2,18-DEC-02,"['SO4', 'MG']"
1NH8,1.8,X-RAY DIFFRACTION,10.1074/JBC.M212124200,{'A': ['P9WMN1']},['A'],12511575,"[('A', ['2.4.2.17'])]",H 3 2,18-DEC-02,"['SO4', 'HIS', 'AMP']"
1NWA,1.5,X-RAY DIFFRACTION,10.1128/JB.185.14.4119-4126.2003,{'A': ['P9WJM5']},['A'],12837786,"[('A', ['1.8.4.6'])]",P 21 21 21,05-FEB-03,
1OY0,2.8,X-RAY DIFFRACTION,10.1016/S0969-2126(03)00106-0,"{'A': ['P9WIL7'], 'C': ['P9WIL7'], 'B': ['P9WIL7'], 'E': ['P9WIL7'], 'D': ['P9WIL7']}","['A', 'B', 'C', 'D', 'E']",12842039,"[('A', ['2.1.2.11']), ('B', ['2.1.2.11']), ('C', ['2.1.2.11']), ('D', ['2.1.2.11']), ('E', ['2.1.2.11'])]",P 32 2 1,03-APR-03,['MG']
1OZP,1.7,X-RAY DIFFRACTION,10.1110/PS.03153703,{'A': ['P9WJM7']},['A'],12930994,,P 21 21 21,09-APR-03,['ACO']
1P0H,1.6,X-RAY DIFFRACTION,10.1110/PS.03153703,{'A': ['P9WJM7']},['A'],12930994,,P 21 21 21,10-APR-03,"['ACO', 'COA']"
1P44,2.7,X-RAY DIFFRACTION,10.1074/JBC.M211968200,"{'A': ['P9WGR1'], 'C': ['P9WGR1'], 'B': ['P9WGR1'], 'E': ['P9WGR1'], 'D': ['P9WGR1'], 'F': ['P9WGR1']}","['A', 'C', 'B', 'E', 'D', 'F']",12606558,"[('A', ['1.3.1.9']), ('C', ['1.3.1.9']), ('B', ['1.3.1.9']), ('E', ['1.3.1.9']), ('D', ['1.3.1.9']), ('F', ['1.3.1.9'])]",C 1 2 1,21-APR-03,"['GEQ', 'NAD']"
1P45,2.6,X-RAY DIFFRACTION,10.1074/JBC.M211968200,"{'A': ['P9WGR1'], 'B': ['P9WGR1']}","['A', 'B']",12606558,"[('A', ['1.3.1.9']), ('B', ['1.3.1.9'])]",I 21 21 21,21-APR-03,"['NAD', 'TCL']"
1P4S,,SOLUTION NMR,,{'A': ['P9WKF5']},['A'],14705932,"[('A', ['2.7.4.3'])]",,24-APR-03,
1P9L,2.3,X-RAY DIFFRACTION,10.1021/BI030044V,"{'A': ['P9WP23'], 'B': ['P9WP23']}","['A', 'B']",12962488,"[('A', ['1.3.1.26']), ('B', ['1.3.1.26'])]",I 21 21 21,12-MAY-03,"['PDC', 'NAI', 'PG4']"
1PM7,2.2,X-RAY DIFFRACTION,10.1016/S0960-894X(03)00673-5,"{'A': ['P9WH11'], 'B': ['P9WH11']}","['A', 'B']",12951098,"[('A', ['5.1.3.13']), ('B', ['5.1.3.13'])]",P 32,10-JUN-03,"['GOL', 'ACT']"
1PQW,2.66,X-RAY DIFFRACTION,,"{'A': ['P96202'], 'B': ['P96202']}","['A', 'B']",,,P 21 21 21,19-JUN-03,['CA']
1PZS,1.63,X-RAY DIFFRACTION,10.1074/JBC.M404699200,{'A': ['P9WGE9']},['A'],15155722,"[('A', ['1.15.1.1'])]",C 1 2 1,14-JUL-03,['CU']
1Q51,2.3,X-RAY DIFFRACTION,10.1074/JBC.M307399200,"{'A': ['P9WNP5'], 'C': ['P9WNP5'], 'B': ['P9WNP5'], 'E': ['P9WNP5'], 'D': ['P9WNP5'], 'G': ['P9WNP5'], 'F': ['P9WNP5'], 'I': ['P9WNP5'], 'H': ['P9WNP5'], 'K': ['P9WNP5'], 'J': ['P9WNP5'], 'L': ['P9WNP5']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'I', 'H', 'K', 'J', 'L']",12909628,"[('A', ['4.1.3.36']), ('C', ['4.1.3.36']), ('B', ['4.1.3.36']), ('E', ['4.1.3.36']), ('D', ['4.1.3.36']), ('G', ['4.1.3.36']), ('F', ['4.1.3.36']), ('I', ['4.1.3.36']), ('H', ['4.1.3.36']), ('K', ['4.1.3.36']), ('J', ['4.1.3.36']), ('L', ['4.1.3.36'])]",P 1 21 1,05-AUG-03,['CAA']
1Q52,1.8,X-RAY DIFFRACTION,10.1074/JBC.M307399200,"{'A': ['P9WNP5'], 'C': ['P9WNP5'], 'B': ['P9WNP5'], 'E': ['P9WNP5'], 'D': ['P9WNP5'], 'G': ['P9WNP5'], 'F': ['P9WNP5'], 'I': ['P9WNP5'], 'H': ['P9WNP5'], 'K': ['P9WNP5'], 'J': ['P9WNP5'], 'L': ['P9WNP5']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'I', 'H', 'K', 'J', 'L']",12909628,"[('A', ['4.1.3.36']), ('C', ['4.1.3.36']), ('B', ['4.1.3.36']), ('E', ['4.1.3.36']), ('D', ['4.1.3.36']), ('G', ['4.1.3.36']), ('F', ['4.1.3.36']), ('I', ['4.1.3.36']), ('H', ['4.1.3.36']), ('K', ['4.1.3.36']), ('J', ['4.1.3.36']), ('L', ['4.1.3.36'])]",P 1 21 1,05-AUG-03,
1Q74,1.7,X-RAY DIFFRACTION,10.1074/JBC.M308914200,"{'A': ['P9WJN3'], 'C': ['P9WJN3'], 'B': ['P9WJN3'], 'D': ['P9WJN3']}","['A', 'B', 'D', 'C']",12958317,,P 1,15-AUG-03,"['ZN', 'PE4']"
1Q7T,1.9,X-RAY DIFFRACTION,10.1016/J.JMB.2003.11.034,"{'A': ['P9WJN3'], 'B': ['P9WJN3']}","['A', 'B']",14698305,,P 21 21 21,20-AUG-03,"['SO4', 'BOG']"
1QPN,2.6,X-RAY DIFFRACTION,10.1016/S0969-2126(98)00156-7,"{'A': ['P9WJJ7'], 'C': ['P9WJJ7'], 'B': ['P9WJJ7'], 'E': ['P9WJJ7'], 'D': ['P9WJJ7'], 'F': ['P9WJJ7']}","['A', 'C', 'B', 'E', 'D', 'F']",9862811,"[('A', ['2.4.2.19']), ('C', ['2.4.2.19']), ('B', ['2.4.2.19']), ('E', ['2.4.2.19']), ('D', ['2.4.2.19']), ('F', ['2.4.2.19'])]",P 31,20-NOV-98,['NCN']
1QPO,2.4,X-RAY DIFFRACTION,10.1016/S0969-2126(98)00156-7,"{'A': ['P9WJJ7'], 'C': ['P9WJJ7'], 'B': ['P9WJJ7'], 'E': ['P9WJJ7'], 'D': ['P9WJJ7'], 'F': ['P9WJJ7']}","['A', 'C', 'B', 'E', 'D', 'F']",9862811,"[('A', ['2.4.2.19']), ('C', ['2.4.2.19']), ('B', ['2.4.2.19']), ('E', ['2.4.2.19']), ('D', ['2.4.2.19']), ('F', ['2.4.2.19'])]",P 31,21-NOV-98,['SO4']
1QPQ,2.45,X-RAY DIFFRACTION,10.1016/S0969-2126(98)00156-7,"{'A': ['P9WJJ7'], 'C': ['P9WJJ7'], 'B': ['P9WJJ7'], 'E': ['P9WJJ7'], 'D': ['P9WJJ7'], 'F': ['P9WJJ7']}","['A', 'C', 'B', 'E', 'D', 'F']",9862811,"[('A', ['2.4.2.19']), ('C', ['2.4.2.19']), ('B', ['2.4.2.19']), ('E', ['2.4.2.19']), ('D', ['2.4.2.19']), ('F', ['2.4.2.19'])]",P 31,20-NOV-98,"['SO4', 'NTM']"
1QPR,2.45,X-RAY DIFFRACTION,10.1016/S0969-2126(98)00156-7,"{'A': ['P9WJJ7'], 'C': ['P9WJJ7'], 'B': ['P9WJJ7'], 'E': ['P9WJJ7'], 'D': ['P9WJJ7'], 'F': ['P9WJJ7']}","['A', 'C', 'B', 'E', 'D', 'F']",9862811,"[('A', ['2.4.2.19']), ('C', ['2.4.2.19']), ('B', ['2.4.2.19']), ('E', ['2.4.2.19']), ('D', ['2.4.2.19']), ('F', ['2.4.2.19'])]",P 31,17-OCT-98,"['PPC', 'MN', 'PHT']"
