,i_entry_name,i_length,i_native,i_tm_helix,i_tm_score,u_uniprot_acc
51,INSA4_ECOLI,91.0, ,0.0,,P0CF10
52,INSA7_ECOLI,91.0, ,0.0,,P19767
53,INSC3_ECOLI,121.0, ,0.0,,P0CF42
54,INSC6_ECOLI,121.0, ,0.0,,P0CF45
55,INSE2_ECOLI,99.0, ,0.0,,P0CF67
56,INSE5_ECOLI,99.0, ,0.0,,P0CF70
57,INSN1_ECOLI,134.0, ,0.0,,P75679
58,INTG_ECOLI,92.0, ,0.0,,P76323
59,ISCA_ECOLI,107.0,1r94A,0.0,,P0AAC8
60,LDRA_ECOLI,35.0, ,17.0,,Q6BF86
61,LPL_ECOLI,28.0, ,0.0,,P0AD79
62,MARA_ECOLI,127.0,1bl0A,0.0,,P0ACH5
63,MAZF_ECOLI,111.0,1ub4A,0.0,,P0AE70
64,MDTJ_ECOLI,121.0, ,73.0,,P69212
65,MINE_ECOLI,88.0,3r9jC,0.0,,P0A734
66,MLIC_ECOLI,109.0, ,8.0,,P28224
67,MQSA_ECOLI,131.0,3gn5A,0.0,,Q46864
68,MSRB_ECOLI,137.0, ,0.0,,P0A746
69,NAPD_ECOLI,87.0, ,0.0,,P0A9I5
70,NIKR_ECOLI,133.0,3od2A,0.0,,P0A6Z6
71,NRDI_ECOLI,136.0,3n3aC,0.0,,P0A772
72,NSRR_ECOLI,141.0, ,0.0,,P0AF63
73,NUDI_ECOLI,141.0, ,0.0,,P52006
74,NUSB_ECOLI,139.0,3d3bA,0.0,,P0A780
75,OSME_ECOLI,112.0, ,9.0,,P0ADB1
76,PAND_ECOLI,126.0,1pqfA,1.0,,P0A790
77,PHNO_ECOLI,144.0, ,0.0,,P16691
78,PMRD_ECOLI,88.0, ,0.0,,P37590
79,PPTA_ECOLI,77.0,1gyjA,0.0,,P31992
80,PTHP_ECOLI,85.0,1pohA,0.0,,P0AA04
81,QUED_ECOLI,121.0, ,0.0,,P65870
82,RALR_ECOLI,64.0, ,0.0,,P33229
83,RBSD_ECOLI,139.0, ,0.0,,P04982
84,RCSF_ECOLI,134.0,2y1bA,6.0,,P69411
85,REND_ECOLI,100.0, ,0.0,,P75718
86,RIMI_ECOLI,148.0, ,0.0,,P0A944
87,RNK_ECOLI,136.0,3bmbA,0.0,,P0AFW4
88,RPIB_ECOLI,149.0,1nn4D,1.0,,P37351
89,RL7_ECOLI,121.0,1ctfA,0.0,,P0A7K2
90,RL15_ECOLI,144.0,1vs6L,0.0,,P02413
91,RL18_ECOLI,117.0,1vs6O,0.0,,P0C018
92,RL21_ECOLI,103.0,1vs6R,0.0,,P0AG48
93,RL24_ECOLI,104.0,1vs6U,0.0,,P60624
94,RL28_ECOLI,78.0,1vt2X,0.0,,P0A7M2
95,RL31_ECOLI,70.0,1vs6Z,0.0,,P0A7M9
96,RL33_ECOLI,55.0,1vs61,0.0,,P0A7N9
97,RL36_ECOLI,38.0,1vs64,0.0,,P0A7Q6
98,RS6_ECOLI,135.0,1vs5F,0.0,,P02358
99,RS10_ECOLI,103.0,1vs5J,0.0,,P0A7R5
100,RS13_ECOLI,118.0,1vs5M,0.0,,P0A7S9
101,RS16_ECOLI,82.0,1vs5P,0.0,,P0A7T3
102,RS19_ECOLI,92.0,1vs7S,0.0,,P0A7U3
103,RRAB_ECOLI,138.0, ,0.0,,P0AF90
104,RZOD_ECOLI,60.0, ,2.0,,P58041
105,DHSC_ECOLI,129.0,1nekC,69.0,,P69054
106,SECG_ECOLI,110.0, ,35.0,,P0AG99
107,SGCB_ECOLI,92.0, ,0.0,,P58035
108,SLYX_ECOLI,72.0, ,0.0,,P0A8R4
109,SOXS_ECOLI,107.0, ,0.0,,P0A9E2
110,SUFA_ECOLI,122.0,2d2aA,0.0,,P77667
111,SYME_ECOLI,113.0, ,0.0,,P39394
112,TATE_ECOLI,67.0, ,13.0,,P0A843
113,TFAS_ECOLI,114.0, ,0.0,,P77326
114,TISB_ECOLI,29.0, ,13.0,,A5A627
115,TORI_ECOLI,66.0, ,0.0,,Q2EES9
116,THIO_ECOLI,109.0,1thoA,0.0,,P0AA25
117,TUSB_ECOLI,95.0,2d1pC,0.0,,P45530
118,TUSE_ECOLI,109.0, ,0.0,,P0AB18
119,LPFUR_ECOLI,28.0, ,0.0,,A8DYP9
120,USPD_ECOLI,142.0, ,0.0,,P0AAB8
121,WZB_ECOLI,147.0, ,0.0,,P0AAB2
122,YACC_ECOLI,115.0, ,5.0,,P0AA95
123,YAEJ_ECOLI,140.0, ,0.0,,P40711
124,YAFP_ECOLI,150.0, ,0.0,,Q47158
125,YAGB_ECOLI,116.0, ,0.0,,P37008
126,YAIA_ECOLI,63.0, ,0.0,,P0AAN5
127,YAJD_ECOLI,115.0, ,0.0,,P0AAQ2
128,YBAN_ECOLI,125.0, ,67.0,,P0AAR5
129,YBAZ_ECOLI,129.0, ,0.0,,P0AFP2
130,YBCO_ECOLI,96.0,3g27A,0.0,,P68661
131,YBDZ_ECOLI,72.0, ,0.0,,P18393
132,YBFE_ECOLI,97.0, ,0.0,,P0AAU7
133,YBGE_ECOLI,97.0, ,53.0,,P0AAV0
134,YBII_ECOLI,88.0, ,0.0,,P41039
135,YBJQ_ECOLI,107.0, ,5.0,,P0A8C1
136,YCCF_ECOLI,148.0, ,68.0,,P0AB12
137,YCEK_ECOLI,75.0, ,18.0,,P0AB31
138,YCGL_ECOLI,97.0, ,0.0,,P0AB43
139,YCHH_ECOLI,92.0, ,39.0,,P0AB49
140,YCIH_ECOLI,108.0, ,0.0,,P08245
141,YCIU_ECOLI,109.0, ,0.0,,P0A8L7
142,YDAQ_ECOLI,71.0, ,0.0,,P76057
143,YDCH_ECOLI,74.0, ,0.0,,P0ACW6
144,YDDM_ECOLI,94.0, ,0.0,,P67699
145,YDFO_ECOLI,136.0, ,0.0,,P76156
146,YDHR_ECOLI,101.0,1wd6A,0.0,,P0ACX3
147,YDIL_ECOLI,118.0, ,0.0,,P76196
148,YEBF_ECOLI,118.0, ,12.0,,P33219
149,YECN_ECOLI,131.0, ,67.0,,P64515
150,YEED_ECOLI,75.0, ,0.0,,P33014
151,YEFM_ECOLI,83.0,2a6qA,0.0,,P69346
152,YEIW_ECOLI,84.0, ,0.0,,P0AFT8
153,YFAH_ECOLI,68.0, ,0.0,,P45505
154,YFDY_ECOLI,80.0, ,53.0,,P76521
155,YFFB_ECOLI,118.0, ,0.0,,P24178
156,YFGJ_ECOLI,71.0, ,0.0,,P76575
157,YFJZ_ECOLI,105.0,2ea9A,0.0,,P52141
158,YGAV_ECOLI,99.0,3cuoA,0.0,,P77295
159,YGCO_ECOLI,86.0, ,0.0,,Q46905
160,YGDR_ECOLI,72.0,3fifB,17.0,,P65294
161,YGGU_ECOLI,96.0, ,0.0,,P52060
162,YGIW_ECOLI,130.0,1nnxA,9.0,,P0ADU5
163,RP5M_ECOLI,95.0, ,0.0,,P0AFX0
164,YHBY_ECOLI,97.0,1ln4A,0.0,,P0AGK4
165,YHDT_ECOLI,80.0, ,37.0,,P45566
166,YHEV_ECOLI,66.0, ,0.0,,P0ADW8
167,YHHK_ECOLI,127.0, ,0.0,,P37613
168,YIAG_ECOLI,96.0, ,0.0,,P0A9V5
169,YIBT_ECOLI,69.0, ,0.0,,Q2M7R5
170,YIFL_ECOLI,67.0, ,13.0,,P0ADN6
171,YIIE_ECOLI,70.0, ,0.0,,P0ADQ5
172,YJAA_ECOLI,127.0, ,0.0,,P09162
173,YJBQ_ECOLI,138.0, ,0.0,,P0AF48
174,YJDJ_ECOLI,90.0, ,0.0,,P39274
175,YJEI_ECOLI,117.0, ,6.0,,P0AF70
176,YJFN_ECOLI,91.0, ,6.0,,P0AF82
177,YJGH_ECOLI,131.0,1pf5A,0.0,,P39332
178,YKFJ_ECOLI,88.0, ,0.0,,P75675
179,YLBG_ECOLI,123.0, ,0.0,,P77688
180,YMDA_ECOLI,103.0, ,16.0,,P75917
181,YMFS_ECOLI,137.0, ,0.0,,P09154
182,YMJD_ECOLI,21.0, ,0.0,,P0CD93
183,YNEL_ECOLI,59.0, ,0.0,,P76138
184,YNHF_ECOLI,29.0, ,18.0,,A5A618
185,YOAC_ECOLI,99.0, ,0.0,,P64490
186,YOBA_ECOLI,124.0, ,12.0,,P0AA57
187,YOHO_ECOLI,35.0, ,22.0,,Q2EES6
188,YQAE_ECOLI,52.0, ,32.0,,P0AE42
189,YQFB_ECOLI,103.0, ,0.0,,P67603
190,YQHH_ECOLI,85.0, ,9.0,,P65298
191,YRDB_ECOLI,85.0, ,0.0,,P45795
192,YTFH_ECOLI,126.0, ,0.0,,P0ACN2
193,YTHA_ECOLI,41.0, ,18.0,,A8DYQ1
194,ZNTR_ECOLI,141.0,1q08A,0.0,,P0ACS5
195,AAEB_ECOLI,655.0, ,186.0,,P46481
196,LFTR_ECOLI,234.0,2dptA,2.0,,P0A8P1
197,ABGR_ECOLI,302.0, ,0.0,,P77744
198,ACCA_ECOLI,319.0,2f9yA,4.0,,P0ABD5
199,ACCD_ECOLI,304.0,2f9yB,7.0,,P0A9Q5
200,ODP1_ECOLI,887.0,2g25A,0.0,,P0AFG8
201,ACKA_ECOLI,400.0, ,0.0,,P0A6A3
202,ACPT_ECOLI,195.0, ,0.0,,P37623
203,ACRD_ECOLI,1037.0, ,207.0,,P24177
204,ACRR_ECOLI,215.0,2qopA,0.0,,P0ACS9
205,ADA_ECOLI,354.0, ,0.0,,P06134
206,ADHE_ECOLI,891.0, ,1.0,,P0A9Q7
207,ADIC_ECOLI,445.0,3ob6B,256.0,,P60061
208,ADRA_ECOLI,371.0, ,84.0,,P0AAP1
209,AER_ECOLI,506.0, ,31.0,,P50466
210,PTPB1_ECOLI,158.0, ,0.0,,P42909
211,AGAR_ECOLI,269.0, ,0.0,,P0ACK2
212,AGP_ECOLI,413.0,1nt4A,7.0,,P19926
213,AIDB_ECOLI,541.0,3u33A,1.0,,P33224
214,ALDA_ECOLI,479.0,2hg2A,1.0,,P25553
215,ALKB_ECOLI,216.0,3khbB,0.0,,P05050
216,ALLC_ECOLI,411.0,1z2lA,0.0,,P77425
217,ALLS_ECOLI,308.0, ,0.0,,P0ACR0
218,ALSB_ECOLI,311.0,1gubA,17.0,,P39265
219,ALSK_ECOLI,309.0,3htvA,9.0,,P32718
220,AMIB_ECOLI,445.0, ,15.0,,P26365
221,AMN_ECOLI,484.0,1t8rA,0.0,,P0AE12
222,AMPE_ECOLI,284.0, ,74.0,,P0AE14
223,AMTB_ECOLI,428.0,2ns1A,208.0,,P69681
224,ASPG1_ECOLI,338.0,2p2dC,0.0,,P0A962
225,APAH_ECOLI,280.0, ,0.0,,P05637
226,PPA_ECOLI,432.0,1dkmA,6.0,,P07102
227,APPY_ECOLI,249.0, ,0.0,,P05052
228,ARAA_ECOLI,500.0,2ajtA,0.0,,P08202
229,ARAD_ECOLI,231.0,1jdiA,0.0,,P08203
230,ARAG_ECOLI,504.0, ,0.0,,P0AAF3
231,ARCA_ECOLI,238.0,1xheA,0.0,,P0A9Q1
232,ARGA_ECOLI,443.0, ,0.0,,P0A6C5
233,ARGD_ECOLI,406.0, ,0.0,,P18335
234,ASSY_ECOLI,447.0,1k92A,0.0,,P0A6E4
235,ARGK_ECOLI,331.0,2p67A,0.0,,P27254
236,ARGT_ECOLI,260.0, ,10.0,,P09551
237,ARNC_ECOLI,322.0, ,55.0,,P77757
238,AROA_ECOLI,427.0,1g6sA,1.0,,P0A6D3
239,AROD_ECOLI,252.0, ,2.0,,P05194
240,AROG_ECOLI,350.0,1gg1B,0.0,,P0AB91
241,AROL_ECOLI,174.0, ,0.0,,P0A6E1
242,ARPA_ECOLI,728.0, ,0.0,,P23325
243,LYSQ_ECOLI,177.0, ,16.0,,P76159
244,ARTJ_ECOLI,243.0, ,7.0,,P30860
245,ARTQ_ECOLI,238.0, ,107.0,,P0AE34
246,ASCG_ECOLI,336.0,3dbiA,2.0,,P24242
247,ASLB_ECOLI,411.0, ,0.0,,P25550
248,ASNB_ECOLI,554.0,1ct9A,2.0,,P22106
249,ASPA_ECOLI,478.0,1jswB,0.0,,P0AC38
250,ASTA_ECOLI,344.0, ,0.0,,P0AE37
251,ASTD_ECOLI,492.0, ,0.0,,P76217
252,ATOB_ECOLI,394.0, ,3.0,,P76461
253,ATOE_ECOLI,440.0, ,194.0,,P76460
254,ATP6_ECOLI,271.0, ,119.0,,P0AB98
255,ATPG_ECOLI,287.0,1fs0G,0.0,,P0ABA6
256,AZOR_ECOLI,201.0,2d5iA,2.0,,P41407
257,BARA_ECOLI,918.0, ,41.0,,P0AEC5
258,BAX_ECOLI,274.0, ,11.0,,P27297
259,BCSA_ECOLI,872.0, ,194.0,,P37653
260,GUN_ECOLI,368.0,3qxqA,11.0,,P37651
261,BETI_ECOLI,195.0, ,0.0,,P17446
262,BGLA_ECOLI,479.0,2xhyA,0.0,,Q46829
263,BGLG_ECOLI,278.0, ,0.0,,P11989
264,BGLX_ECOLI,765.0, ,0.0,,P33363
265,BIOC_ECOLI,251.0, ,0.0,,P12999
266,BIOH_ECOLI,256.0,1m33A,0.0,,P13001
267,BLC_ECOLI,177.0,1qwdA,5.0,,P0A901
268,BTUC_ECOLI,326.0,1l7vA,185.0,,P06609
269,BTUF_ECOLI,266.0,1n2zA,9.0,,P37028
270,CADB_ECOLI,444.0, ,260.0,,P0AAE8
271,CAIB_ECOLI,405.0,1xvuA,2.0,,P31572
272,CAIE_ECOLI,196.0, ,5.0,,P39206
273,CARA_ECOLI,382.0,1jdbF,0.0,,P0A6F1
274,CBPA_ECOLI,306.0, ,0.0,,P36659
275,CCMA_ECOLI,207.0, ,0.0,,P33931
276,CCME_ECOLI,159.0, ,21.0,,P69490
277,CDAR_ECOLI,385.0, ,0.0,,P37047
278,CDSA_ECOLI,285.0, ,173.0,,P0ABG1
279,CHAC_ECOLI,231.0, ,0.0,,P39163
280,CHBG_ECOLI,249.0, ,0.0,,P37794
281,CHEB_ECOLI,349.0, ,0.0,,P07330
282,CHEZ_ECOLI,214.0,1kmiZ,0.0,,P0A9H9
283,CIRA_ECOLI,663.0,2hdiA,7.0,,P17315
284,CILA_ECOLI,510.0, ,0.0,,P75726
285,CLCA_ECOLI,473.0,1kpkA,222.0,,P37019
286,CLPB_ECOLI,857.0, ,0.0,,P63284
287,CLS_ECOLI,486.0, ,39.0,,P0A6H8
288,CMOB_ECOLI,323.0, ,0.0,,P76291
289,COABC_ECOLI,406.0,1u7zC,0.0,,P0ABQ0
290,COBC_ECOLI,203.0, ,0.0,,P52086
291,COBU_ECOLI,181.0, ,0.0,,P0AE76
292,COF_ECOLI,272.0, ,0.0,,P46891
293,CORA_ECOLI,316.0, ,36.0,,P0ABI4
294,CPDB_ECOLI,647.0, ,6.0,,P08331
295,CPXP_ECOLI,166.0,3qzcB,4.0,,P0AE85
296,CREC_ECOLI,474.0, ,38.0,,P08401
297,PTGA_ECOLI,169.0,1glaF,0.0,,P69783
298,CSGB_ECOLI,151.0, ,11.0,,P0ABK7
299,CSID_ECOLI,325.0,1jr7A,0.0,,P76621
300,CSRD_ECOLI,646.0, ,41.0,,P13518
301,CUSA_ECOLI,1047.0,3ne5A,224.0,,P38054
302,CUSR_ECOLI,227.0, ,0.0,,P0ACZ8
303,CVPA_ECOLI,162.0, ,82.0,,P08550
304,C561_ECOLI,176.0, ,83.0,,P0ABE5
305,CYDB_ECOLI,379.0, ,164.0,,P0ABK2
306,CYNR_ECOLI,299.0,3hfuB,1.0,,P27111
307,CYNX_ECOLI,384.0, ,189.0,,P17583
308,CYOC_ECOLI,204.0,1fftC,103.0,,P0ABJ3
309,CYSB_ECOLI,324.0, ,0.0,,P0A9F3
310,CYSE_ECOLI,273.0,1t3dA,2.0,,P0A9D4
311,CYSI_ECOLI,570.0,2gepA,0.0,,P17846
312,CYSM_ECOLI,303.0,2bhsA,2.0,,P16703
313,CYSQ_ECOLI,246.0, ,0.0,,P22255
314,CYSW_ECOLI,291.0, ,133.0,,P0AEB0
315,DACA_ECOLI,403.0,3mzfA,11.0,,P0AEB2
316,DACD_ECOLI,388.0, ,11.0,,P33013
317,DMA_ECOLI,278.0,2g1pB,0.0,,P0AEE8
318,DAPB_ECOLI,273.0,1dihA,4.0,,P04036
319,DAPF_ECOLI,274.0, ,0.0,,P0A6K1
320,DCM_ECOLI,472.0, ,0.0,,P0AED9
321,DCTA_ECOLI,428.0, ,191.0,,P0A830
322,DCUB_ECOLI,446.0, ,222.0,,P0ABN9
323,DCUR_ECOLI,239.0, ,4.0,,P0AD01
324,DDLA_ECOLI,364.0, ,0.0,,P0A6J8
325,DDPB_ECOLI,340.0, ,152.0,,P77308
326,DDPF_ECOLI,308.0, ,0.0,,P77622
327,DEDD_ECOLI,220.0, ,16.0,,P09549
328,DEGQ_ECOLI,455.0,3stjA,18.0,,P39099
329,DEOB_ECOLI,407.0, ,0.0,,P0A6K6
330,DEOR_ECOLI,252.0, ,0.0,,P0ACK5
331,DGOK_ECOLI,292.0, ,0.0,,P31459
332,DGTP_ECOLI,505.0, ,0.0,,P15723
333,DHAM_ECOLI,472.0, ,2.0,,P37349
334,DPO4_ECOLI,351.0, ,0.0,,Q47155
335,DJLA_ECOLI,271.0, ,22.0,,P31680
336,DKGA_ECOLI,275.0,1mzrA,0.0,,Q46857
337,DLD_ECOLI,571.0,1f0xA,0.0,,P06149
338,DMLR_ECOLI,307.0, ,0.0,,P76250
339,DMSC_ECOLI,287.0, ,150.0,,P18777
340,DNAB_ECOLI,471.0, ,0.0,,P0ACB0
341,PRIM_ECOLI,581.0,3b39A,0.0,,P0ABS5
342,DPO3B_ECOLI,366.0,1mmiA,0.0,,P0A988
343,DPO3X_ECOLI,643.0,3glfG,0.0,,P06710
344,DPIA_ECOLI,226.0, ,0.0,,P0AEF4
345,DPPB_ECOLI,339.0, ,142.0,,P0AEF8
346,DPPF_ECOLI,334.0, ,0.0,,P37313
347,DSBB_ECOLI,176.0,2zuqA,77.0,,P0A6M2
348,DSBE_ECOLI,185.0,3k8nA,18.0,,P0AA86
349,DSDC_ECOLI,311.0, ,0.0,,P46068
350,DTPB_ECOLI,489.0, ,294.0,,P36837
351,DUSB_ECOLI,321.0, ,0.0,,P0ABT5
352,DXR_ECOLI,398.0,1k5hA,1.0,,P45568
353,EAMA_ECOLI,299.0, ,209.0,,P31125
354,EBGR_ECOLI,327.0, ,0.0,,P06846
355,ALKH_ECOLI,213.0,1euaA,0.0,,P0A955
356,EFP_ECOLI,188.0, ,0.0,,P0A6N4
357,ELBB_ECOLI,217.0,1oy1A,0.0,,P0ABU5
358,ELFD_ECOLI,233.0, ,16.0,,P75856
359,EMRB_ECOLI,512.0, ,261.0,,P0AEJ0
360,EMRY_ECOLI,512.0, ,265.0,,P52600
361,ENGB_ECOLI,210.0,1puiA,0.0,,P0A6P7
362,ENTA_ECOLI,248.0,2fwmX,2.0,,P15047
363,ENTD_ECOLI,206.0, ,0.0,,P19925
364,ENTS_ECOLI,416.0, ,231.0,,P24077
365,ENVY_ECOLI,253.0, ,4.0,,P10805
366,EPTA_ECOLI,547.0, ,110.0,,P30845
367,ERFK_ECOLI,310.0, ,9.0,,P39176
368,EUTB_ECOLI,453.0,3aboA,1.0,,P0AEJ6
369,EUTE_ECOLI,467.0, ,6.0,,P77445
370,EUTJ_ECOLI,278.0, ,0.0,,P77277
371,EUTP_ECOLI,159.0, ,0.0,,P76556
372,EUTT_ECOLI,267.0, ,3.0,,P65643
373,EXOX_ECOLI,220.0, ,0.0,,P0AEK0
374,FABA_ECOLI,172.0,1mkaA,0.0,,P0A6Q3
375,FABF_ECOLI,413.0,1b3nA,8.0,,P0AAI5
376,FABI_ECOLI,262.0,1qsgG,0.0,,P0AEK4
377,FADA_ECOLI,387.0, ,1.0,,P21151
378,FADE_ECOLI,814.0, ,48.0,,Q47146
379,FADJ_ECOLI,714.0, ,0.0,,P77399
380,FADR_ECOLI,239.0,1h9tA,0.0,,P0A8V6
381,F16PA_ECOLI,332.0,2qvrA,0.0,,P0A993
382,FDHD_ECOLI,277.0, ,3.0,,P32177
383,FDNG_ECOLI,1015.0,1kqfA,6.0,,P24183
384,FDOG_ECOLI,1016.0, ,12.0,,P32176
385,FDRA_ECOLI,555.0,3dmyA,0.0,,Q47208
386,FECA_ECOLI,774.0,1kmoA,4.0,,P13036
387,FECD_ECOLI,318.0, ,171.0,,P15029
388,FECR_ECOLI,317.0, ,3.0,,P23485
389,FEPB_ECOLI,318.0, ,13.0,,P0AEL6
390,FEPE_ECOLI,377.0, ,31.0,,P26266
391,SRP54_ECOLI,453.0,2xxaA,0.0,,P0AGD7
392,FHUA_ECOLI,747.0,2grxA,7.0,,P06971
393,FHUD_ECOLI,296.0,1k2vN,7.0,,P07822
394,FIC_ECOLI,200.0, ,0.0,,P20605
395,FIMB_ECOLI,200.0, ,0.0,,P0ADH5
396,FIME_ECOLI,198.0, ,0.0,,P0ADH7
397,FIMH_ECOLI,300.0,1klfB,21.0,,P08191
398,FIU_ECOLI,760.0, ,15.0,,P75780
399,FIXC_ECOLI,428.0, ,3.0,,P68644
400,FLAV_ECOLI,176.0,1ag9A,0.0,,P61949
401,FLGD_ECOLI,231.0, ,0.0,,P75936
402,FLGG_ECOLI,260.0, ,0.0,,P0ABX5
403,FLGK_ECOLI,547.0, ,0.0,,P33235
404,FLHB_ECOLI,382.0, ,96.0,,P76299
405,FLIC_ECOLI,498.0, ,0.0,,P04949
406,FLIG_ECOLI,331.0, ,0.0,,P0ABZ1
407,FLIK_ECOLI,375.0, ,0.0,,P52614
408,FLIY_ECOLI,266.0, ,8.0,,P0AEM9
409,FNR_ECOLI,250.0, ,0.0,,P0A9E5
410,DYR_ECOLI,159.0,1ddrA,0.0,,P0ABQ4
411,GCH1_ECOLI,222.0,1fbxA,0.0,,P0A6T5
412,DHPS_ECOLI,282.0,1aj0A,0.0,,P0AC13
413,FRDA_ECOLI,602.0,1kf6A,0.0,,P00363
414,FRLA_ECOLI,445.0, ,257.0,,P45539
415,FRLD_ECOLI,261.0, ,0.0,,P45543
416,SFGH1_ECOLI,277.0, ,0.0,,P51025
417,PTFBC_ECOLI,563.0, ,165.0,,P20966
418,FRUR_ECOLI,334.0,2iksA,0.0,,P0ACP1
419,FRVX_ECOLI,356.0, ,0.0,,P32153
420,PTFC1_ECOLI,415.0, ,178.0,,P77579
421,FSR_ECOLI,406.0, ,226.0,,P52067
422,FTSA_ECOLI,420.0, ,0.0,,P0ABH0
423,FTSI_ECOLI,588.0, ,26.0,,P0AD68
424,FTSQ_ECOLI,276.0,2vh1A,21.0,,P06136
425,FTSZ_ECOLI,383.0, ,0.0,,P0A9A6
426,FUCK_ECOLI,482.0, ,0.0,,P11553
427,FUCR_ECOLI,243.0, ,0.0,,P0ACK8
428,FUMC_ECOLI,467.0,1yfeA,0.0,,P05042
429,GABD_ECOLI,482.0,3jz4A,0.0,,P25526
430,DCEA_ECOLI,466.0,1xeyB,0.0,,P69908
431,GADE_ECOLI,175.0, ,1.0,,P63204
432,GALE_ECOLI,338.0,1udcA,0.0,,P09147
433,GALM_ECOLI,346.0, ,0.0,,P0A9C3
434,GALS_ECOLI,346.0, ,0.0,,P25748
435,G3P1_ECOLI,331.0,1dc3A,0.0,,P0A9B2
436,GLXK2_ECOLI,381.0, ,0.0,,P23524
437,GARR_ECOLI,294.0, ,0.0,,P0ABQ2
438,GATR_ECOLI,259.0, ,0.0,,P36930
439,DHG_ECOLI,796.0, ,93.0,,P15877
440,GCVA_ECOLI,305.0, ,0.0,,P0A9F6
441,GCST_ECOLI,364.0,3a8iA,0.0,,P27248
442,GFCC_ECOLI,248.0, ,12.0,,P75883
443,GGT_ECOLI,580.0,2e0wB,7.0,,P18956
444,GLCA_ECOLI,560.0, ,276.0,,Q46839
445,GLCD_ECOLI,499.0, ,1.0,,P0AEP9
446,GLDA_ECOLI,367.0, ,0.0,,P0A9S5
447,GLGB_ECOLI,728.0,3o7yB,0.0,,P07762
448,GLGX_ECOLI,657.0,2wskA,0.0,,P15067
449,GLMS_ECOLI,609.0,2j6hA,3.0,,P17169
450,GLND_ECOLI,890.0, ,0.0,,P27249
451,GLNH_ECOLI,248.0,1wdnA,7.0,,P0AEQ3
452,GLNQ_ECOLI,240.0, ,0.0,,P10346
453,GLPA_ECOLI,542.0, ,0.0,,P0A9C0
454,GLPD_ECOLI,501.0,2qcuB,3.0,,P13035
455,GLPK_ECOLI,502.0,1glfY,0.0,,P0A6F3
456,GLPT_ECOLI,452.0,1pw4A,244.0,,P08194
457,GLRR_ECOLI,444.0, ,0.0,,P0AFU4
