,m_gene,u_uniprot_acc,u_reviewed,u_pdb
127,b1091,P0A6R0,True,1HNH
128,b1091,P0A6R0,True,1HNK
129,b1091,P0A6R0,True,1HNJ
130,b1091,P0A6R0,True,2GYO
131,b1091,P0A6R0,True,1MZS
132,b1091,P0A6R0,True,1HND
133,b1090,P27247,True,
134,b1098,P0A720,True,4TMK
135,b1098,P0A720,True,5TMP
136,b1098,P0A720,True,1E9F
137,b2779,P0A6P9,True,3H8A
138,b2779,P0A6P9,True,2FYM
139,b2779,P0A6P9,True,1E9I
140,b1270,P0A9H5,True,
141,b1277,P0A7I7,True,2BZ0
142,b1277,P0A7I7,True,2BZ1
143,b1276,P25516,True,
144,b1278,P0A924,True,
145,b4358,P39400,True,
146,b4356,P39398,True,
147,b1651,P0AC81,True,1FA6
148,b1651,P0AC81,True,1FA7
149,b1651,P0AC81,True,1FA5
150,b1651,P0AC81,True,1F9Z
151,b1651,P0AC81,True,1FA8
152,b0709,P75742,True,4Q65
153,b1876,P11875,True,4OBY
154,b1654,P0AC69,True,1YKA
155,b1654,P0AC69,True,2WCI
156,b1873,P52005,True,
157,b1872,P46923,True,
158,b0875,P60844,True,2O9D
159,b0875,P60844,True,3NKC
160,b0875,P60844,True,3NKA
161,b0875,P60844,True,2O9F
162,b0875,P60844,True,2O9G
163,b0875,P60844,True,1RC2
164,b0875,P60844,True,2O9E
165,b0875,P60844,True,3NK5
166,b0875,P60844,True,2ABM
167,b0870,P75823,True,3WLX
168,b0871,P07003,True,3EY9
169,b0871,P07003,True,3EYA
170,b4136,P36655,True,1VRS
171,b4136,P36655,True,3PFU
172,b4136,P36655,True,2FWF
173,b4136,P36655,True,1JPE
174,b4136,P36655,True,1JZD
175,b4136,P36655,True,2FWE
176,b4136,P36655,True,1L6P
177,b4136,P36655,True,2FWG
178,b4136,P36655,True,1Z5Y
179,b4136,P36655,True,4IP1
180,b4136,P36655,True,2FWH
181,b4136,P36655,True,4IP6
182,b4132,P0AAE8,True,
183,b4131,P0A9H3,True,3Q16
184,b4131,P0A9H3,True,4UPF
185,b4131,P0A9H3,True,4UPB
186,b4131,P0A9H3,True,3N75
187,b4130,P39276,True,
188,b4139,P0AC38,True,1JSW
189,b4138,P0ABN5,True,
190,b1479,P26616,True,
191,b1478,P39451,True,4GKV
192,b1473,P46136,True,
193,b1475,P0AAJ3,True,1KQG
194,b1475,P0AAJ3,True,1KQF
195,b1474,P24183,True,1KQG
196,b1474,P24183,True,1KQF
197,b1476,P0AEK7,True,1KQG
198,b1476,P0AEK7,True,1KQF
199,b0674,P22106,True,1CT9
200,b0677,P0AF18,True,2P50
201,b0677,P0AF18,True,1YRR
202,b0677,P0AF18,True,1YMY
203,b0677,P0AF18,True,2P53
204,b0678,P0A759,True,1JT9
205,b0678,P0A759,True,1FQO
206,b0678,P0A759,True,1DEA
207,b0678,P0A759,True,1FSF
208,b0678,P0A759,True,1HOT
209,b0678,P0A759,True,1HOR
210,b0678,P0A759,True,1CD5
211,b0678,P0A759,True,1FS5
212,b0678,P0A759,True,1FS6
213,b0678,P0A759,True,2WU1
214,b0678,P0A759,True,1FRZ
215,b0679,P09323,True,
216,b4006,P15639,True,
217,b4005,P15640,True,1GSO
218,b0052,P19624,True,1PS6
219,b0052,P19624,True,1PS7
220,b0052,P19624,True,1PTM
221,b0907,P23721,True,1BJO
222,b0907,P23721,True,1BJN
223,b0904,P0AC23,True,
224,b0902,P0A9N4,True,3C8F
225,b0902,P0A9N4,True,3CB8
226,b0903,P09373,True,1QHM
227,b0903,P09373,True,1CM5
228,b0903,P09373,True,1MZO
229,b0903,P09373,True,1H16
230,b0903,P09373,True,1H17
231,b0903,P09373,True,2PFL
232,b0903,P09373,True,1H18
233,b0903,P09373,True,3PFL
234,b0459,P77791,True,1OCX
235,b0908,P0A6D3,True,1EPS
236,b0908,P0A6D3,True,3FJZ
237,b0908,P0A6D3,True,3FK0
238,b0908,P0A6D3,True,2AA9
239,b0908,P0A6D3,True,2QFU
240,b0908,P0A6D3,True,1G6S
241,b0908,P0A6D3,True,3FK1
242,b0908,P0A6D3,True,2QFQ
243,b0908,P0A6D3,True,1Q36
244,b0908,P0A6D3,True,2QFS
245,b0908,P0A6D3,True,2QFT
246,b0908,P0A6D3,True,2AAY
247,b0908,P0A6D3,True,1P88
248,b0908,P0A6D3,True,2PQ9
249,b0908,P0A6D3,True,1G6T
250,b0908,P0A6D3,True,1P89
251,b0908,P0A6D3,True,1MI4
252,b0908,P0A6D3,True,3FJX
253,b0908,P0A6D3,True,1X8T
254,b0908,P0A6D3,True,1X8R
255,s0001,P0AD88,True,
256,b3035,P02930,True,1EK9
257,b3035,P02930,True,2VDD
258,b3035,P02930,True,2VDE
259,b3035,P02930,True,2WMZ
260,b3035,P02930,True,1TQQ
261,b3035,P02930,True,2XMN
262,b3034,Q93K97,True,1G9Q
263,b3034,Q93K97,True,1G0S
264,b3034,Q93K97,True,1GA7
265,b3034,Q93K97,True,1KHZ
266,b3034,Q93K97,True,1VIQ
267,b2938,P21170,True,3NZQ
268,b3583,P37680,True,
269,b3581,P37678,True,
270,b3580,P37677,True,
271,b3588,P37685,True,
272,b0353,P77589,True,
273,b1896,P31677,True,1UQU
274,b1896,P31677,True,1UQT
275,b1896,P31677,True,1GZ5
276,b1896,P31677,True,2WTX
277,b3917,P0AG78,True,
278,b3091,P42604,True,
279,b3093,P0AA78,True,
280,b3360,P00903,True,
281,b3367,P0AC26,True,
282,b3366,P0A9I8,True,2JO6
283,b3365,P08201,True,
284,b3368,P0AEA8,True,
285,b3693,P31459,True,
286,b3691,P0AA76,True,
287,b3213,P09832,True,
288,b3212,P09831,True,
289,b3747,P63183,True,
290,b3749,P04983,True,
291,b3748,P04982,True,
292,b2344,P10384,True,2R4L
293,b2344,P10384,True,2R88
294,b2344,P10384,True,2R4N
295,b2344,P10384,True,2R4O
296,b2344,P10384,True,1T1L
297,b2344,P10384,True,3PGU
298,b2344,P10384,True,2R89
299,b2344,P10384,True,3DWN
300,b2344,P10384,True,3PF1
301,b2344,P10384,True,3PGR
302,b2344,P10384,True,3PGS
303,b2344,P10384,True,2R8A
304,b2344,P10384,True,2R4P
305,b2344,P10384,True,1T16
306,b2342,P76503,True,
307,b2615,P0A7B3,True,
308,b2341,P77399,True,
309,b2167,P20966,True,
310,b2162,P33022,True,1Q8F
311,b2162,P33022,True,3B9X
312,b2877,Q46810,True,
313,b2168,P0AEW9,True,
314,b2169,P69811,True,
315,b2987,P43676,True,
316,b2988,P0AES0,True,3A2Z
317,b2988,P0AES0,True,2IO7
318,b2988,P0AES0,True,2IO8
319,b2988,P0AES0,True,2IO9
320,b2988,P0AES0,True,3O98
321,b2988,P0AES0,True,2IOB
322,b2988,P0AES0,True,3A2Y
323,b2988,P0AES0,True,2IOA
324,b2988,P0AES0,True,3A30
325,b3960,P11447,True,1TJ7
326,b3962,P27306,True,
327,b3967,P22634,True,2JFN
328,b3966,P06129,True,2GUF
329,b3966,P06129,True,3RGM
330,b3966,P06129,True,3M8B
331,b3966,P06129,True,2YSU
332,b3966,P06129,True,3M8D
333,b3966,P06129,True,2GSK
334,b3966,P06129,True,1NQF
335,b3966,P06129,True,1NQG
336,b3966,P06129,True,1NQE
337,b3966,P06129,True,3RGN
338,b3966,P06129,True,1UJW
339,b3966,P06129,True,1NQH
340,b1927,P26612,True,
341,b2507,P04079,True,1GPM
342,b2500,P08179,True,2GAR
343,b2500,P08179,True,1GAR
344,b2500,P08179,True,3GAR
345,b2500,P08179,True,1C3E
346,b2500,P08179,True,1JKX
347,b2500,P08179,True,1GRC
348,b2500,P08179,True,1C2T
349,b2500,P08179,True,1CDD
350,b2500,P08179,True,1CDE
351,b2501,P0A7B1,True,1XDP
352,b2501,P0A7B1,True,1XDO
353,b2502,P0AFL6,True,1U6Z
354,b2508,P0ADG7,True,
355,b0038,P31572,True,1XVV
356,b0038,P31572,True,1XK6
357,b0038,P31572,True,1XK7
358,b0038,P31572,True,1XA4
359,b0038,P31572,True,1XVU
360,b0038,P31572,True,1XVT
361,b0038,P31572,True,1XA3
362,b2762,P17854,True,1SUR
363,b2762,P17854,True,2O8V
364,b2763,P17846,True,3AOP
365,b2763,P17846,True,2GEP
366,b2763,P17846,True,4GEP
367,b2763,P17846,True,2AOP
368,b2763,P17846,True,5AOP
369,b2763,P17846,True,8GEP
370,b2763,P17846,True,4HTR
371,b2763,P17846,True,7GEP
372,b2763,P17846,True,5GEP
373,b2763,P17846,True,3GEO
374,b2763,P17846,True,4G38
375,b2763,P17846,True,4G39
376,b2763,P17846,True,4AOP
377,b2763,P17846,True,6GEP
378,b2763,P17846,True,1AOP
379,b2764,P38038,True,1DDG
380,b2764,P38038,True,1YKG
381,b2764,P38038,True,1DDI
382,b2765,P65870,True,3QNA
383,b2765,P65870,True,4NTK
384,b2765,P65870,True,4NTN
385,b2765,P65870,True,4NTM
386,b2765,P65870,True,3QN0
387,b2765,P65870,True,3QN9
388,b1264,P00895,True,
389,b1260,P0A877,True,1XC4
390,b1260,P0A877,True,1XCF
391,b1260,P0A877,True,1V7Y
392,b1260,P0A877,True,1WQ5
393,b1261,P0A879,True,2DH6
394,b1261,P0A879,True,2DH5
395,b1262,P00909,True,1JCM
396,b1262,P00909,True,2KZH
397,b1262,P00909,True,1PII
398,b1263,P00904,True,
399,b1528,P31122,True,
400,b1866,P21889,True,1IL2
401,b1866,P21889,True,1C0A
402,b1866,P21889,True,1EQR
403,b0849,P68688,True,1EGR
404,b0849,P68688,True,1QFN
405,b0849,P68688,True,1EGO
406,b0849,P68688,True,1GRX
407,b1865,P0AFC0,True,2O1C
408,b1865,P0AFC0,True,2O5W
409,b1646,P0AGD1,True,1ESO
410,b0842,P0AEY8,True,4ZP2
411,b0842,P0AEY8,True,4ZP0
412,b0842,P0AEY8,True,4ZOW
413,b0841,P75806,True,
414,b4120,P02921,True,
415,b4122,P14407,True,
416,b4123,P0ABN9,True,
417,b0118,P36683,True,1L5J
418,b0115,P06959,True,2K7V
419,b0115,P06959,True,1QJO
420,b0114,P0AFG8,True,2QTC
421,b0114,P0AFG8,True,2QTA
422,b0114,P0AFG8,True,1L8A
423,b0114,P0AFG8,True,2IEA
424,b0114,P0AFG8,True,2G25
425,b0114,P0AFG8,True,2G67
426,b0114,P0AFG8,True,1RP7
427,b0114,P0AFG8,True,2G28
428,b0116,P0A9P0,True,4JDR
429,b0110,P13016,True,
430,b0112,P15993,True,
431,b1468,P19319,True,
432,b1469,P37758,True,4IU8
433,b1469,P37758,True,4IU9
434,b1463,P77567,True,
435,b1466,P19317,True,
436,b1467,P19318,True,
437,b1465,P0AF32,True,
438,b0591,P24077,True,
439,b0590,P23876,True,
440,b0593,P0AEJ2,True,3HWO
441,b0592,P0AEL6,True,2M6K
442,b0592,P0AEL6,True,2M6L
443,b0592,P0AEL6,True,3TLK
444,b0595,P0ADI4,True,3RG2
445,b0595,P0ADI4,True,2FQ1
446,b0594,P10378,True,3RG2
447,b0594,P10378,True,4IZ6
448,b0596,P15047,True,2FWM
449,b0604,P77202,True,2H0H
450,b0604,P77202,True,2H0G
451,b0604,P77202,True,1V58
452,b0604,P77202,True,2H0I
453,b0604,P77202,True,2IY2
454,b0604,P77202,True,1V57
455,b0029,P62623,True,3SZL
456,b0029,P62623,True,3T0G
457,b0029,P62623,True,3SZO
458,b0029,P62623,True,3UTD
459,b0029,P62623,True,3UTC
460,b0029,P62623,True,4H4D
461,b0029,P62623,True,4H4E
462,b0029,P62623,True,3SZU
463,b0029,P62623,True,4H4C
464,b0029,P62623,True,3KE9
465,b0029,P62623,True,3KE8
466,b0029,P62623,True,3T0F
467,b0029,P62623,True,3URK
468,b0029,P62623,True,3F7T
469,b0029,P62623,True,3KEM
470,b0029,P62623,True,3UWM
471,b0029,P62623,True,3KEL
472,b0029,P62623,True,3KEF
473,b0029,P62623,True,3ZGN
474,b0029,P62623,True,3UV3
475,b0029,P62623,True,3ZGL
476,b0029,P62623,True,3UV6
477,b0029,P62623,True,3UV7
478,b0029,P62623,True,4EB3
479,b4019,P13009,True,1K7Y
480,b4019,P13009,True,3BUL
481,b4019,P13009,True,1BMT
482,b4019,P13009,True,1K98
483,b4019,P13009,True,1MSK
484,b4019,P13009,True,3IVA
485,b4019,P13009,True,3IV9
486,b4014,P08997,True,3CV1
487,b4014,P08997,True,3CV2
488,b4014,P08997,True,3CUZ
489,b4015,P0A9G6,True,1IGW
490,b0025,P0AG40,True,
491,b1519,P76145,True,
492,b0933,P0AAI1,True,
493,b0932,P04825,True,3B3B
494,b0932,P04825,True,2DQ6
495,b0932,P04825,True,3QJX
496,b0932,P04825,True,2HPT
497,b0932,P04825,True,4Q4I
498,b0932,P04825,True,3B2X
499,b0932,P04825,True,3B34
500,b0932,P04825,True,2ZXG
501,b0932,P04825,True,4Q4E
502,b0932,P04825,True,3KED
503,b0932,P04825,True,3PUU
504,b0932,P04825,True,2DQM
505,b0932,P04825,True,3B2P
506,b0932,P04825,True,3B37
507,b0932,P04825,True,2HPO
508,b0931,P18133,True,
509,b0930,P0A8M0,True,
510,b0937,P80644,True,4PTY
511,b0937,P80644,True,4PTZ
512,b0937,P80644,True,4PU0
513,b0936,P75853,True,2X26
514,b0935,P80645,True,1NQK
515,b0935,P80645,True,1M41
516,b0934,P75851,True,
517,b0334,P77243,True,1SZQ
518,b0337,P25524,True,1K6W
519,b0337,P25524,True,1RAK
520,b0337,P25524,True,3R0D
521,b0337,P25524,True,1RA5
522,b0337,P25524,True,1RA0
523,b0337,P25524,True,3O7U
524,b0337,P25524,True,1R9Z
525,b0337,P25524,True,1R9X
526,b0337,P25524,True,1R9Y
527,b0337,P25524,True,3G77
528,b0337,P25524,True,1K70
529,b0337,P25524,True,3RN6
530,b0336,P0AA82,True,
531,b0331,P77541,True,1XG4
532,b0331,P77541,True,1MUM
533,b0331,P77541,True,1OQF
534,b0331,P77541,True,1XG3
535,b0333,P31660,True,
536,b0339,P0ABE9,True,
537,b3028,P0AEY5,True,2B3D
538,b3029,P0ADU2,True,1R6Y
539,b3029,P0ADU2,True,1TUV
540,b3591,P0A821,True,
541,b3599,P00550,True,1VKR
542,b3599,P00550,True,1J6T
543,b3599,P00550,True,2FEW
544,b3599,P00550,True,1A3A
545,b3599,P00550,True,1VRV
546,b4032,P68183,True,3RLF
547,b4032,P68183,True,3FH6
548,b4032,P68183,True,2R6G
549,b4032,P68183,True,4KI0
550,b4032,P68183,True,3PV0
551,b4032,P68183,True,3PUZ
552,b4032,P68183,True,3PUX
553,b4032,P68183,True,3PUY
554,b4032,P68183,True,3PUV
555,b4032,P68183,True,3PUW
556,b4032,P68183,True,4JBW
557,b3114,P42632,True,
558,b3115,P11868,True,
559,b3116,P0AAD8,True,
560,b3117,P0AGF6,True,
561,b3374,P45543,True,
562,b3370,P45539,True,
563,b3371,P0AC00,True,
564,b3752,P0A9J6,True,1RKD
565,b3752,P0A9J6,True,1RKS
566,b3752,P0A9J6,True,1RKA
567,b3752,P0A9J6,True,1RK2
568,b3752,P0A9J6,True,1GQT
569,b3201,P0A9V1,True,4P31
570,b3201,P0A9V1,True,4P33
571,b3201,P0A9V1,True,4P32
572,b3750,P0AGI1,True,
573,b2378,P0ACV2,True,
574,b2373,P0AFI0,True,2Q29
575,b2373,P0AFI0,True,2Q28
576,b2373,P0AFI0,True,2Q27
577,b2374,P69902,True,1PT7
578,b2374,P69902,True,1PT5
579,b2374,P69902,True,1PT8
580,b2374,P69902,True,1Q6Y
581,b2374,P69902,True,1Q7E
582,b2374,P69902,True,1PQY
583,b2153,P0A6T5,True,1N3T
584,b2153,P0A6T5,True,1A9C
585,b2153,P0A6T5,True,1FBX
586,b2153,P0A6T5,True,1GTP
587,b2153,P0A6T5,True,1N3R
588,b2153,P0A6T5,True,1N3S
589,b2153,P0A6T5,True,1A8R
590,b4219,P0A744,True,2IEM
591,b4219,P0A744,True,2GT3
592,b4219,P0A744,True,1FF3
593,b2156,P25737,True,
594,b2155,P17315,True,2HDF
595,b2155,P17315,True,2HDI
596,b2154,P33018,True,
597,b2407,P45563,True,1YQQ
598,b2407,P45563,True,1YR3
599,b2407,P45563,True,1YQU
600,b2406,P45562,True,
601,b2400,P04805,True,
602,b2979,P0AEP9,True,
603,b2975,Q46839,True,
604,b2976,P37330,True,1D8C
605,b2976,P37330,True,1P7T
606,b2976,P37330,True,2JQX
607,b2976,P37330,True,1Y8B
608,b3974,P0A6I3,True,1ESN
609,b3974,P0A6I3,True,1ESM
610,b3974,P0A6I3,True,1SQ5
611,b2574,P10902,True,1CHU
612,b2574,P10902,True,1KNR
613,b2574,P10902,True,1KNP
614,b2579,P68066,True,
615,b2578,P38101,True,
616,b3431,P15067,True,2WSK
617,b1981,P76350,True,
618,b2947,P04425,True,1GSA
619,b2947,P04425,True,1GSH
620,b2947,P04425,True,1GLV
621,b2947,P04425,True,2GLT
622,b2539,Q47140,True,
623,b2538,P0ABR5,True,
624,b2889,Q46822,True,1I9A
625,b2889,Q46822,True,1X84
626,b2889,Q46822,True,1NFS
627,b2889,Q46822,True,2B2K
628,b2889,Q46822,True,1HX3
629,b2889,Q46822,True,1Q54
630,b2889,Q46822,True,1R67
631,b2889,Q46822,True,1NFZ
632,b2889,Q46822,True,1HZT
633,b2889,Q46822,True,1OW2
634,b2889,Q46822,True,2VNQ
635,b2889,Q46822,True,1PPW
636,b2889,Q46822,True,1PPV
637,b2889,Q46822,True,2G73
638,b2889,Q46822,True,2G74
639,b2889,Q46822,True,1X83
640,b2889,Q46822,True,2VNP
641,b2889,Q46822,True,1PVF
642,b2883,P76641,True,
643,b2882,P67444,True,
644,b2799,P0A9S1,True,2BL4
645,b2799,P0A9S1,True,1RRM
646,b2799,P0A9S1,True,2BI4
647,b2794,Q46920,True,
648,b2797,P30744,True,
649,b2796,P0AAD6,True,
650,b2536,Q47142,True,
651,b1210,P0A6X1,True,
652,b1215,P0A715,True,1PHW
653,b1215,P0A715,True,1GG0
654,b1215,P0A715,True,1X8F
655,b1215,P0A715,True,1G7U
656,b1215,P0A715,True,1PL9
657,b1215,P0A715,True,1G7V
658,b1215,P0A715,True,1X6U
659,b1215,P0A715,True,1D9E
660,b1215,P0A715,True,1PHQ
661,b1215,P0A715,True,1Q3N
662,b1216,P31801,True,
663,b1189,P0A6J5,True,
664,b1185,P0A6M2,True,2LEG
665,b1185,P0A6M2,True,2ZUQ
666,b1185,P0A6M2,True,2ZUP
667,b1185,P0A6M2,True,3E9J
668,b1185,P0A6M2,True,2HI7
669,b1185,P0A6M2,True,2K74
670,b1185,P0A6M2,True,2K73
671,b1185,P0A6M2,True,2LTQ
672,b1186,P0AFA7,True,
673,b0854,P31133,True,1A99
674,b0854,P31133,True,4JDF
675,b0855,P31134,True,
676,b0856,P31135,True,
677,b0857,P0AFL1,True,
678,b1852,P0AC53,True,
679,b1851,P0ADF6,True,
680,b1850,P0A955,True,1EUA
681,b1850,P0A955,True,1WBH
682,b1850,P0A955,True,2C0A
683,b1850,P0A955,True,1FWR
684,b1850,P0A955,True,1EUN
685,b1850,P0A955,True,1WAU
686,b1850,P0A955,True,1FQ0
687,b1857,P39172,True,2PRS
688,b1857,P39172,True,2PS3
689,b1857,P39172,True,2OGW
690,b1857,P39172,True,2OSV
691,b1857,P39172,True,2PS0
692,b1857,P39172,True,2PS9
693,b1679,P76194,True,1MZG
694,b1854,P21599,True,
695,b1677,P69776,True,1KFN
696,b1677,P69776,True,2GUV
697,b1677,P69776,True,1KFM
698,b1677,P69776,True,2GUS
699,b1677,P69776,True,1EQ7
700,b1677,P69776,True,1JCD
701,b1677,P69776,True,1T8Z
702,b1677,P69776,True,1JCC
703,b1676,P0AD61,True,4YNG
704,b1676,P0AD61,True,1PKY
705,b1676,P0AD61,True,1E0T
706,b1676,P0AD61,True,1E0U
707,b1859,P39832,True,
708,b1858,P0A9X1,True,
709,b1325,P51981,True,1JPD
710,b1326,P0ACV6,True,
711,b1453,P77610,True,
712,b0109,P30011,True,
713,b0104,P60560,True,
714,b1329,P77348,True,4TOZ
715,b1329,P77348,True,3O9P
716,b0103,P0A6I9,True,1N3B
717,b0103,P0A6I9,True,1VIY
718,b0103,P0A6I9,True,1VHT
719,b0103,P0A6I9,True,1T3H
720,b0103,P0A6I9,True,1VHL
721,b4481,P56258,True,
722,b1693,P05194,True,
723,b1692,P0A6D5,True,1O9B
724,b1692,P0A6D5,True,1VI2
725,b1692,P0A6D5,True,1NPD
726,b4245,P0A786,True,1EZZ
727,b4245,P0A786,True,1EKX
728,b4245,P0A786,True,1F1B
729,b4245,P0A786,True,4F04
730,b4245,P0A786,True,1TTH
731,b4245,P0A786,True,1XJW
732,b4245,P0A786,True,1AT1
733,b4245,P0A786,True,3MPU
734,b4245,P0A786,True,4FYW
735,b4245,P0A786,True,4FYV
736,b4245,P0A786,True,4FYY
737,b4245,P0A786,True,4FYX
738,b4245,P0A786,True,7AT1
739,b4245,P0A786,True,5AT1
740,b4245,P0A786,True,1RAD
741,b4245,P0A786,True,1TU0
742,b4245,P0A786,True,2IPO
743,b4245,P0A786,True,1GQ3
744,b4245,P0A786,True,2FZK
745,b4245,P0A786,True,2QGF
746,b4245,P0A786,True,2H3E
747,b4245,P0A786,True,2QG9
748,b4245,P0A786,True,3D7S
749,b4245,P0A786,True,2FZC
750,b4245,P0A786,True,8ATC
751,b4245,P0A786,True,1RAB
752,b4245,P0A786,True,1RAC
753,b4245,P0A786,True,6AT1
754,b4245,P0A786,True,1RAI
755,b4245,P0A786,True,1RAF
756,b4245,P0A786,True,1RAG
757,b4245,P0A786,True,3CSU
758,b4245,P0A786,True,1RAE
759,b4245,P0A786,True,1RAH
760,b4245,P0A786,True,2ATC
761,b4245,P0A786,True,1Q95
762,b4245,P0A786,True,1RAA
763,b4245,P0A786,True,8AT1
764,b4245,P0A786,True,4WTO
765,b4245,P0A786,True,1ACM
766,b4245,P0A786,True,9ATC
767,b4245,P0A786,True,2HSE
768,b4245,P0A786,True,2A0F
769,b4245,P0A786,True,1R0C
770,b4245,P0A786,True,1R0B
771,b4245,P0A786,True,3AT1
772,b4245,P0A786,True,1D09
773,b4245,P0A786,True,2AT1
774,b4245,P0A786,True,4E2F
775,b4245,P0A786,True,1TUG
776,b4245,P0A786,True,2FZG
777,b4245,P0A786,True,1SKU
778,b4245,P0A786,True,2AIR
779,b4245,P0A786,True,3NPM
780,b4245,P0A786,True,1ZA2
781,b4245,P0A786,True,1I5O
782,b4245,P0A786,True,1ZA1
783,b4245,P0A786,True,4AT1
784,b4245,P0A786,True,1NBE
785,b4244,P0A7F3,True,2QGF
786,b4244,P0A7F3,True,1EZZ
787,b4244,P0A7F3,True,1F1B
788,b4244,P0A7F3,True,4F04
789,b4244,P0A7F3,True,1TTH
790,b4244,P0A7F3,True,1XJW
791,b4244,P0A7F3,True,1AT1
792,b4244,P0A7F3,True,3MPU
793,b4244,P0A7F3,True,4FYW
794,b4244,P0A7F3,True,4FYV
795,b4244,P0A7F3,True,4FYY
796,b4244,P0A7F3,True,4FYX
797,b4244,P0A7F3,True,7AT1
798,b4244,P0A7F3,True,5AT1
