,p_resolution,p_experiment,p_doi,p_chemicals,p_chain_uniprot_map,p_chains,p_pmid,p_space_group,p_deposition_date,p_ec_numbers
1A8R,2.1,X-RAY DIFFRACTION,10.1016/S0022-2836(02)01303-7,['GTP'],"{'A': ['P0A6T5'], 'C': ['P0A6T5'], 'B': ['P0A6T5'], 'E': ['P0A6T5'], 'D': ['P0A6T5'], 'G': ['P0A6T5'], 'F': ['P0A6T5'], 'I': ['P0A6T5'], 'H': ['P0A6T5'], 'K': ['P0A6T5'], 'J': ['P0A6T5'], 'M': ['P0A6T5'], 'L': ['P0A6T5'], 'O': ['P0A6T5'], 'N': ['P0A6T5']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'I', 'H', 'K', 'J', 'M', 'L', 'O', 'N']",12559918,C 2 2 21,27-MAR-98,"[('A', ['3.5.4.16']), ('C', ['3.5.4.16']), ('B', ['3.5.4.16']), ('E', ['3.5.4.16']), ('D', ['3.5.4.16']), ('G', ['3.5.4.16']), ('F', ['3.5.4.16']), ('I', ['3.5.4.16']), ('H', ['3.5.4.16']), ('K', ['3.5.4.16']), ('J', ['3.5.4.16']), ('M', ['3.5.4.16']), ('L', ['3.5.4.16']), ('O', ['3.5.4.16']), ('N', ['3.5.4.16'])]"
1A91,,SOLUTION NMR,10.1021/BI980511M,,{'A': ['P68699']},['A'],9636021,,15-APR-98,"[('A', ['3.6.1.34'])]"
1A95,2.0,X-RAY DIFFRACTION,10.1006/JMBI.1998.2051,"['PCP', 'GUN', 'MG', 'BO3']","{'A': ['P0A9M5'], 'C': ['P0A9M5'], 'B': ['P0A9M5'], 'D': ['P0A9M5']}","['A', 'C', 'B', 'D']",9743633,P 43 21 2,16-APR-98,"[('A', ['2.4.2.22']), ('C', ['2.4.2.22']), ('B', ['2.4.2.22']), ('D', ['2.4.2.22'])]"
1A96,2.0,X-RAY DIFFRACTION,10.1006/JMBI.1998.2051,"['PCP', 'XAN', 'MG', 'BO3']","{'A': ['P0A9M5'], 'C': ['P0A9M5'], 'B': ['P0A9M5'], 'D': ['P0A9M5']}","['A', 'C', 'B', 'D']",9743633,P 43 21 2,16-APR-98,"[('A', ['2.4.2.22']), ('C', ['2.4.2.22']), ('B', ['2.4.2.22']), ('D', ['2.4.2.22'])]"
1A97,2.6,X-RAY DIFFRACTION,10.1006/JMBI.1998.2051,"['5GP', 'BO3']","{'A': ['P0A9M5'], 'C': ['P0A9M5'], 'B': ['P0A9M5'], 'D': ['P0A9M5']}","['A', 'C', 'D', 'B']",9743633,P 43 21 2,16-APR-98,"[('A', ['2.4.2.22']), ('C', ['2.4.2.22']), ('D', ['2.4.2.22']), ('B', ['2.4.2.22'])]"
1A98,2.25,X-RAY DIFFRACTION,10.1006/JMBI.1998.2051,,"{'A': ['P0A9M5'], 'B': ['P0A9M5']}","['A', 'B']",9743633,C 1 2 1,16-APR-98,"[('A', ['2.4.2.22']), ('B', ['2.4.2.22'])]"
1A99,2.2,X-RAY DIFFRACTION,10.1074/JBC.273.28.17604,['PUT'],"{'A': ['P31133'], 'C': ['P31133'], 'B': ['P31133'], 'D': ['P31133']}","['A', 'C', 'B', 'D']",9651355,P 21 21 2,17-APR-98,
1A9C,2.9,X-RAY DIFFRACTION,,['GTP'],"{'A': ['P0A6T5'], 'C': ['P0A6T5'], 'B': ['P0A6T5'], 'E': ['P0A6T5'], 'D': ['P0A6T5'], 'G': ['P0A6T5'], 'F': ['P0A6T5'], 'I': ['P0A6T5'], 'H': ['P0A6T5'], 'K': ['P0A6T5'], 'J': ['P0A6T5'], 'M': ['P0A6T5'], 'L': ['P0A6T5'], 'O': ['P0A6T5'], 'N': ['P0A6T5']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'I', 'H', 'K', 'J', 'M', 'L', 'O', 'N']",,C 2 2 21,04-APR-98,"[('A', ['3.5.4.16']), ('C', ['3.5.4.16']), ('B', ['3.5.4.16']), ('E', ['3.5.4.16']), ('D', ['3.5.4.16']), ('G', ['3.5.4.16']), ('F', ['3.5.4.16']), ('I', ['3.5.4.16']), ('H', ['3.5.4.16']), ('K', ['3.5.4.16']), ('J', ['3.5.4.16']), ('M', ['3.5.4.16']), ('L', ['3.5.4.16']), ('O', ['3.5.4.16']), ('N', ['3.5.4.16'])]"
1A9X,1.8,X-RAY DIFFRACTION,10.1021/BI9807761,"['NET', 'CYG', 'PO4', 'ADP', 'CL', 'K', 'MN', 'ORN']","{'A': ['P00968'], 'C': ['P00968'], 'B': ['P0A6F1'], 'E': ['P00968'], 'D': ['P0A6F1'], 'G': ['P00968'], 'F': ['P0A6F1'], 'H': ['P0A6F1']}","['G', 'F', 'A', 'C', 'B', 'E', 'D', 'H']",9636022,P 21 21 21,14-APR-98,
1A9Y,1.8,X-RAY DIFFRACTION,10.1021/BI9808969,"['NAD', 'UPG', 'NA']",{'A': ['P09147']},['A'],9708982,P 32 2 1,14-APR-98,"[('A', ['5.1.3.2'])]"
1A9Z,1.9,X-RAY DIFFRACTION,10.1021/BI9808969,"['NAD', 'PGE', 'UPG', 'NA']",{'A': ['P09147']},['A'],9708982,P 32 2 1,14-APR-98,"[('A', ['5.1.3.2'])]"
1AA6,2.3,X-RAY DIFFRACTION,10.1126/SCIENCE.275.5304.1305,"['MGD', '4MO', 'SF4']",{'A': ['P07658']},['A'],9036855,P 41 21 2,23-JAN-97,"[('A', ['1.2.1.2'])]"
1AAM,2.8,X-RAY DIFFRACTION,10.1093/PROTEIN/7.3.405,"['SO4', 'PLP']",{'A': ['P00509']},['A'],7909946,C 2 2 21,13-JUL-93,"[('A', ['2.6.1.1'])]"
1AAW,2.4,X-RAY DIFFRACTION,10.1093/PROTEIN/7.3.405,['PLP'],{'A': ['P00509']},['A'],7909946,C 2 2 21,13-JUL-93,"[('A', ['2.6.1.1'])]"
1ABE,1.7,X-RAY DIFFRACTION,10.1038/310381A0,"['ARB', 'ARA']",{'A': ['P02924']},['A'],6379466,P 21 21 21,23-APR-92,
1ABF,1.9,X-RAY DIFFRACTION,10.1038/340404A0,"['FCB', 'FCA']",{'A': ['P02924']},['A'],2818726,P 21 21 21,23-APR-92,
1ABV,,SOLUTION NMR,10.1038/NSB0397-198,,{'A': ['P0ABA4']},['A'],9164460,,29-JAN-97,"[('A', ['3.6.1.34'])]"
1AC1,2.0,X-RAY DIFFRACTION,,,"{'A': ['P0AEG4'], 'B': ['P0AEG4']}","['A', 'B']",9300489,C 1 2 1,10-FEB-97,
1ACM,2.8,X-RAY DIFFRACTION,,"['ZN', 'PAL']","{'A': ['P0A786'], 'C': ['P0A786'], 'B': ['P0A7F3'], 'D': ['P0A7F3']}","['A', 'B', 'C', 'D']",1303763,P 3 2 1,08-JUL-92,"[('A', ['2.1.3.2']), ('C', ['2.1.3.2'])]"
1ACP,,SOLUTION NMR,10.1002/PROT.340080411,,{'A': ['P0A6A8']},['A'],2091027,,29-JUL-90,
1ACV,1.9,X-RAY DIFFRACTION,,,"{'A': ['P0AEG4'], 'B': ['P0AEG4']}","['A', 'B']",9300489,C 1 2 1,10-FEB-97,
1ADE,2.0,X-RAY DIFFRACTION,10.1006/JMBI.1995.0629,,"{'A': ['P0A7D4'], 'B': ['P0A7D4']}","['A', 'B']",7490761,P 1 21 1,14-SEP-95,"[('A', ['6.3.4.4']), ('B', ['6.3.4.4'])]"
1ADI,2.5,X-RAY DIFFRACTION,10.1006/JMBI.1995.0629,,"{'A': ['P0A7D4'], 'B': ['P0A7D4']}","['A', 'B']",7490761,P 21 21 21,14-SEP-95,"[('A', ['6.3.4.4']), ('B', ['6.3.4.4'])]"
1AF2,2.3,X-RAY DIFFRACTION,10.1021/BI963091E,"['ZN', 'U']",{'A': ['P0ABF6']},['A'],9125497,P 31 2 1,20-MAR-97,"[('A', ['3.5.4.5'])]"
1AF6,2.4,X-RAY DIFFRACTION,10.1006/JMBI.1997.1224,"['MG', 'GLC', 'FRU']","{'A': ['P02943'], 'C': ['P02943'], 'B': ['P02943']}","['A', 'B', 'C']",9299337,C 2 2 21,21-MAR-97,
1AG9,1.8,X-RAY DIFFRACTION,,"['NA', 'CL', 'CA', 'FMN', 'BTB']","{'A': ['P61949'], 'B': ['P61949']}","['A', 'B']",9416602,P 21 21 21,04-APR-97,
1AH5,2.4,X-RAY DIFFRACTION,10.1107/S0907444998014711,"['MSE', 'DPM']",{'A': ['P06983']},['A'],10089459,P 21 21 2,13-APR-97,"[('A', ['2.5.1.61'])]"
1AHE,2.3,X-RAY DIFFRACTION,10.1038/NSB0795-548,"['SO4', 'PLP']","{'A': ['P00509'], 'B': ['P00509']}","['A', 'B']",7664122,P 1 21 1,22-FEB-95,"[('A', ['2.6.1.1']), ('B', ['2.6.1.1'])]"
1AHF,2.3,X-RAY DIFFRACTION,10.1038/NSB0795-548,"['SO4', 'PLP', 'IOP']","{'A': ['P00509'], 'B': ['P00509']}","['A', 'B']",7664122,P 1 21 1,22-FEB-95,"[('A', ['2.6.1.1']), ('B', ['2.6.1.1'])]"
1AHG,2.5,X-RAY DIFFRACTION,10.1038/NSB0795-548,['PLP'],"{'A': ['P00509'], 'C': ['PDB-C'], 'B': ['P00509'], 'D': ['PDB-D']}","['A', 'C', 'B', 'D']",7664122,P 1 21 1,22-FEB-95,"[('C', ['2.6.1.1']), ('D', ['2.6.1.1'])]"
1AHN,2.6,X-RAY DIFFRACTION,,"['FMN', 'CA']",{'A': ['P61949']},['A'],9416602,P 3 1 2,07-APR-97,
1AHP,3.0,X-RAY DIFFRACTION,10.1038/NSB0597-405,"['SO4', 'GOL', 'PLP', 'MAL']","{'A': ['P00490'], 'B': ['P00490']}","['B', 'A']",9145112,C 1 2 1,10-APR-97,"[('B', ['2.4.1.1']), ('A', ['2.4.1.1'])]"
1AHX,2.0,X-RAY DIFFRACTION,10.1038/NSB0795-548,"['HCI', 'PLP']","{'A': ['P00509'], 'B': ['P00509']}","['A', 'B']",7664122,P 1 21 1,21-FEB-95,"[('A', ['2.6.1.1']), ('B', ['2.6.1.1'])]"
1AHY,2.3,X-RAY DIFFRACTION,10.1038/NSB0795-548,"['PLP', 'MAE']","{'A': ['P00509'], 'B': ['P00509']}","['A', 'B']",7664122,P 1 21 1,21-FEB-95,"[('A', ['2.6.1.1']), ('B', ['2.6.1.1'])]"
1AI2,1.9,X-RAY DIFFRACTION,10.1126/SCIENCE.277.5323.202,"['ICA', 'NAP']",{'A': ['P08200']},['A'],9211842,P 43 21 2,30-APR-97,"[('A', ['1.1.1.42'])]"
1AI3,1.9,X-RAY DIFFRACTION,10.1126/SCIENCE.277.5323.202,"['NDO', 'MG', 'ICT']",{'A': ['P08200']},['A'],9211842,P 43 21 2,30-APR-97,"[('A', ['1.1.1.42'])]"
1AIA,2.2,X-RAY DIFFRACTION,10.1021/BI00002A004,['PMP'],"{'A': ['P00509'], 'B': ['P00509']}","['A', 'B']",7819232,P 1 21 1,10-MAY-94,"[('A', ['2.6.1.1']), ('B', ['2.6.1.1'])]"
1AIB,2.8,X-RAY DIFFRACTION,10.1021/BI00002A004,"['PMP', 'AKG']","{'A': ['P00509'], 'B': ['P00509']}","['A', 'B']",7819232,P 1 21 1,10-MAY-94,"[('A', ['2.6.1.1']), ('B', ['2.6.1.1'])]"
1AIC,2.4,X-RAY DIFFRACTION,10.1021/BI00002A004,"['SO4', 'PMP']","{'A': ['P00509'], 'B': ['P00509']}","['A', 'B']",7819232,P 1 21 1,10-MAY-94,"[('A', ['2.6.1.1']), ('B', ['2.6.1.1'])]"
1AIQ,2.2,X-RAY DIFFRACTION,,"['UMP', 'CB3', 'CXM']","{'A': ['P0A884'], 'B': ['P0A884']}","['A', 'B']",9416600,P 63,23-APR-97,"[('A', ['2.1.1.45']), ('B', ['2.1.1.45'])]"
1AJ0,2.0,X-RAY DIFFRACTION,10.1038/NSB0697-490,"['SO4', 'PH2', 'SAN']",{'A': ['P0AC13']},['A'],9187658,C 1 21 1,14-MAY-97,"[('A', ['2.5.1.15'])]"
1AJ2,2.0,X-RAY DIFFRACTION,10.1038/NSB0697-490,"['SO4', '2PH']",{'A': ['P0AC13']},['A'],9187658,C 1 21 1,14-MAY-97,"[('A', ['2.5.1.15'])]"
1AJA,2.5,X-RAY DIFFRACTION,10.1021/BI00043A001,,"{'A': ['P00634'], 'B': ['P00634']}","['A', 'B']",7577993,I 2 2 2,19-AUG-95,"[('A', ['3.1.3.1']), ('B', ['3.1.3.1'])]"
1AJB,2.5,X-RAY DIFFRACTION,10.1093/PROTEIN/8.9.865,"['SO4', 'ZN', 'MG']","{'A': ['P00634'], 'B': ['P00634']}","['A', 'B']",8746724,I 2 2 2,19-AUG-95,"[('A', ['3.1.3.1']), ('B', ['3.1.3.1'])]"
1AJC,2.5,X-RAY DIFFRACTION,10.1021/BI00043A001,"['ZN', 'MG']","{'A': ['P00634'], 'B': ['P00634']}","['A', 'B']",7577993,I 2 2 2,18-JUL-95,"[('A', ['3.1.3.1']), ('B', ['3.1.3.1'])]"
1AJD,2.5,X-RAY DIFFRACTION,10.1021/BI00043A001,"['ZN', 'MG']","{'A': ['P00634'], 'B': ['P00634']}","['A', 'B']",7577993,I 2 2 2,18-AUG-95,"[('A', ['3.1.3.1']), ('B', ['3.1.3.1'])]"
1AJM,2.4,X-RAY DIFFRACTION,,['CXM'],{'A': ['P0A884']},['A'],9416600,I 21 3,06-MAY-97,"[('A', ['2.1.1.45'])]"
1AJZ,2.0,X-RAY DIFFRACTION,10.1038/NSB0697-490,['SO4'],{'A': ['P0AC13']},['A'],9187658,C 1 21 1,13-MAY-97,"[('A', ['2.5.1.15'])]"
1AKE,2.0,X-RAY DIFFRACTION,10.1016/0022-2836(92)90582-5,['AP5'],"{'A': ['P69441'], 'B': ['P69441']}","['A', 'B']",1548697,P 21 2 21,08-NOV-91,"[('A', ['2.7.4.3']), ('B', ['2.7.4.3'])]"
1AKM,2.8,X-RAY DIFFRACTION,10.1038/NSB0897-622,,"{'A': ['P04391'], 'C': ['P04391'], 'B': ['P04391']}","['A', 'C', 'B']",9253409,P 32,23-MAY-97,"[('A', ['2.1.3.3']), ('C', ['2.1.3.3']), ('B', ['2.1.3.3'])]"
1ALH,2.5,X-RAY DIFFRACTION,,"['SO4', 'ZN', 'PO4']","{'A': ['P00634'], 'B': ['P00634']}","['A', 'B']",7703848,I 2 2 2,23-AUG-94,"[('A', ['3.1.3.1']), ('B', ['3.1.3.1'])]"
1ALI,2.2,X-RAY DIFFRACTION,,"['ZN', 'MG', 'PO4']","{'A': ['P00634'], 'B': ['P00634']}","['A', 'B']",8520475,I 2 2 2,02-JUN-95,"[('A', ['3.1.3.1']), ('B', ['3.1.3.1'])]"
1ALJ,2.6,X-RAY DIFFRACTION,,"['ZN', 'MG', 'PO4']","{'A': ['P00634'], 'B': ['P00634']}","['A', 'B']",8520475,I 2 2 2,02-JUN-95,"[('A', ['3.1.3.1']), ('B', ['3.1.3.1'])]"
1ALK,2.0,X-RAY DIFFRACTION,10.1016/0022-2836(91)90724-K,"['ZN', 'MG', 'PO4']","{'A': ['P00634'], 'B': ['P00634']}","['A', 'B']",2010919,I 2 2 2,03-MAR-93,"[('A', ['3.1.3.1']), ('B', ['3.1.3.1'])]"
1ALN,2.3,X-RAY DIFFRACTION,10.1021/BI9525583,"['ZN', 'CTD']",{'A': ['P0ABF6']},['A'],8634261,P 31 2 1,02-JUN-97,"[('A', ['3.5.4.5'])]"
1AMF,1.75,X-RAY DIFFRACTION,10.1038/NSB0997-703,['MOO'],{'A': ['P37329']},['A'],9302996,P 32 2 1,13-JUN-97,
1AMQ,2.2,X-RAY DIFFRACTION,,['PMP'],{'A': ['P00509']},['A'],7896726,C 2 2 21,01-JUL-94,"[('A', ['2.6.1.1'])]"
1AMR,2.1,X-RAY DIFFRACTION,,"['MAE', 'PMP']",{'A': ['P00509']},['A'],7896726,C 2 2 21,01-JUL-94,"[('A', ['2.6.1.1'])]"
1AMS,2.7,X-RAY DIFFRACTION,,"['GUA', 'PMP']",{'A': ['P00509']},['A'],7896726,C 2 2 21,01-JUL-94,"[('A', ['2.6.1.1'])]"
1AN5,2.6,X-RAY DIFFRACTION,10.1016/S0969-2126(98)00086-0,"['PO4', 'CB3', 'FMT']","{'A': ['P0A884'], 'B': ['P0A884']}","['A', 'B']",9687366,P 63,26-JUN-97,"[('A', ['2.1.1.45']), ('B', ['2.1.1.45'])]"
1ANF,1.67,X-RAY DIFFRACTION,10.1016/S0969-2126(97)00253-0,['GLC'],{'A': ['P0AEX9']},['A'],9309217,C 1 2 1,25-JUN-97,
1ANI,2.5,X-RAY DIFFRACTION,10.1006/JMBI.1995.0576,"['ZN', 'PO4']","{'A': ['P00634'], 'B': ['P00634']}","['A', 'B']",7473737,I 2 2 2,06-SEP-95,"[('A', ['3.1.3.1']), ('B', ['3.1.3.1'])]"
1ANJ,2.3,X-RAY DIFFRACTION,10.1006/JMBI.1995.0576,"['ZN', 'PO4']","{'A': ['P00634'], 'B': ['P00634']}","['A', 'B']",7473737,I 2 2 2,06-SEP-95,"[('A', ['3.1.3.1']), ('B', ['3.1.3.1'])]"
1ANK,2.0,X-RAY DIFFRACTION,10.1002/PROT.340190304,"['ANP', 'AMP']","{'A': ['P69441'], 'B': ['P69441']}","['A', 'B']",7937733,C 1 2 1,28-FEB-94,"[('A', ['2.7.4.3']), ('B', ['2.7.4.3'])]"
1AOB,2.1,X-RAY DIFFRACTION,10.1016/S0969-2126(98)00086-0,"['FMT', 'DDU', 'PO4']",{'A': ['P0A884']},['A'],9687366,I 21 3,30-JUN-97,"[('A', ['2.1.1.45'])]"
1AOP,1.6,X-RAY DIFFRACTION,,"['SF4', 'SRM', 'K', 'PO4']",{'A': ['P17846']},['A'],7569952,P 21 21 21,08-JUL-97,"[('A', ['1.8.1.2'])]"
1APB,1.76,X-RAY DIFFRACTION,,"['FCB', 'FCA']",{'A': ['P02924']},['A'],2204627,P 21 21 21,15-NOV-91,
1AQ2,1.9,X-RAY DIFFRACTION,10.1038/NSB1297-990,"['MG', 'ATP', 'MN', 'PYR']",{'A': ['P22259']},['A'],9406547,C 1 2 1,05-AUG-97,"[('A', ['4.1.1.49'])]"
1AQT,2.3,X-RAY DIFFRACTION,10.1016/S0969-2126(97)00272-4,,{'A': ['P0A6E6']},['A'],9331422,P 65 2 2,31-JUL-97,"[('A', ['3.6.1.34'])]"
1ARG,2.2,X-RAY DIFFRACTION,10.1111/J.1432-1033.1995.TB20861.X,['PPD'],"{'A': ['P00509'], 'B': ['P00509']}","['A', 'B']",7556224,P 1 21 1,23-AUG-95,"[('A', ['2.6.1.1']), ('B', ['2.6.1.1'])]"
1ARH,2.3,X-RAY DIFFRACTION,10.1111/J.1432-1033.1995.TB20861.X,['PPD'],"{'A': ['P00509'], 'B': ['P00509']}","['A', 'B']",7556224,P 1 21 1,23-AUG-95,"[('A', ['2.6.1.1']), ('B', ['2.6.1.1'])]"
1ARI,2.3,X-RAY DIFFRACTION,10.1111/J.1432-1033.1995.TB20413.X,"['PLP', 'MAE']","{'A': ['P00509'], 'B': ['P00509']}","['A', 'B']",7851426,P 1 21 1,23-AUG-95,"[('A', ['2.6.1.1']), ('B', ['2.6.1.1'])]"
1ARS,1.8,X-RAY DIFFRACTION,,['PLP'],{'A': ['P00509']},['A'],7798192,C 2 2 21,02-AUG-93,"[('A', ['2.6.1.1'])]"
1ART,1.8,X-RAY DIFFRACTION,,"['0A0', 'PLP']",{'A': ['P00509']},['A'],7798192,C 2 2 21,02-AUG-93,"[('A', ['2.6.1.1'])]"
1ARZ,2.6,X-RAY DIFFRACTION,10.1021/BI9719915,"['NAI', 'PO4', 'K', 'PDC']","{'A': ['P04036'], 'C': ['P04036'], 'B': ['P04036'], 'D': ['P04036']}","['A', 'C', 'B', 'D']",9398235,P 21 21 21,08-AUG-97,"[('A', ['1.3.1.26']), ('C', ['1.3.1.26']), ('B', ['1.3.1.26']), ('D', ['1.3.1.26'])]"
1ASA,2.4,X-RAY DIFFRACTION,,"['PLP', 'MAE']",{'A': ['P00509']},['A'],,C 2 2 21,27-AUG-93,"[('A', ['2.6.1.1'])]"
1ASB,2.6,X-RAY DIFFRACTION,,"['PLP', 'MAE']",{'A': ['P00509']},['A'],,C 2 2 21,27-AUG-93,"[('A', ['2.6.1.1'])]"
1ASC,2.4,X-RAY DIFFRACTION,,['NPL'],{'A': ['P00509']},['A'],,C 2 2 21,27-AUG-93,"[('A', ['2.6.1.1'])]"
1ASD,2.2,X-RAY DIFFRACTION,,"['MAE', 'MPL']",{'A': ['P00509']},['A'],,C 2 2 21,27-AUG-93,"[('A', ['2.6.1.1'])]"
1ASE,2.5,X-RAY DIFFRACTION,,"['MAE', 'NOP']",{'A': ['P00509']},['A'],,C 2 2 21,27-AUG-93,"[('A', ['2.6.1.1'])]"
1ASF,2.8,X-RAY DIFFRACTION,,"['SO4', 'PLP']",{'A': ['P00509']},['A'],,C 2 2 21,27-AUG-93,"[('A', ['2.6.1.1'])]"
1ASG,2.8,X-RAY DIFFRACTION,,"['PLP', 'MAE']",{'A': ['P00509']},['A'],,C 2 2 21,27-AUG-93,"[('A', ['2.6.1.1'])]"
1ASL,2.6,X-RAY DIFFRACTION,10.1006/JMBI.1994.1368,['PLA'],"{'A': ['P00509'], 'B': ['P00509']}","['A', 'B']",8196059,P 1 21 1,16-SEP-93,"[('A', ['2.6.1.1']), ('B', ['2.6.1.1'])]"
1ASM,2.35,X-RAY DIFFRACTION,10.1006/JMBI.1994.1368,"['PLP', 'MAE']","{'A': ['P00509'], 'B': ['P00509']}","['A', 'B']",8196059,P 1 21 1,16-SEP-93,"[('A', ['2.6.1.1']), ('B', ['2.6.1.1'])]"
1ASN,2.5,X-RAY DIFFRACTION,10.1006/JMBI.1994.1368,"['SO4', 'PLP']","{'A': ['P00509'], 'B': ['P00509']}","['A', 'B']",8196059,P 1 21 1,16-SEP-93,"[('A', ['2.6.1.1']), ('B', ['2.6.1.1'])]"
1AT1,2.8,X-RAY DIFFRACTION,10.1021/BI00454A013,"['PCT', 'ZN', 'MLI']","{'A': ['P0A786'], 'C': ['P0A786'], 'B': ['P0A7F3'], 'D': ['P0A7F3']}","['C', 'A', 'B', 'D']",2405902,P 3 2 1,22-SEP-89,"[('C', ['2.1.3.2']), ('A', ['2.1.3.2'])]"
1ATY,,SOLUTION NMR,10.1021/BI00005A020,,{'A': ['P68699']},['A'],7849023,,05-OCT-94,"[('A', ['3.6.1.34'])]"
1AV8,2.8,X-RAY DIFFRACTION,10.1021/BI9728811,['FEO'],"{'A': ['P69924'], 'B': ['P69924']}","['A', 'B']",9558317,P 61,30-SEP-97,"[('A', ['1.17.4.1']), ('B', ['1.17.4.1'])]"
1AW8,2.2,X-RAY DIFFRACTION,10.1038/NSB0498-289,['PYR'],"{'A': ['P0A790'], 'B': ['P0A790'], 'E': ['P0A790'], 'D': ['P0A790']}","['A', 'B', 'D', 'E']",9546220,P 61 2 2,12-OCT-97,"[('A', ['4.1.1.11']), ('B', ['4.1.1.11']), ('D', ['4.1.1.11']), ('E', ['4.1.1.11'])]"
1AXW,1.7,X-RAY DIFFRACTION,,"['MTX', 'UMP', 'FMT']","{'A': ['P0A884'], 'B': ['P0A884']}","['A', 'B']",,P 63,23-OCT-97,"[('A', ['2.1.1.45']), ('B', ['2.1.1.45'])]"
1AYL,1.8,X-RAY DIFFRACTION,10.1038/NSB0496-355,"['MG', 'OXL', 'ATP']",{'A': ['P22259']},['A'],8599762,C 1 2 1,07-DEC-95,"[('A', ['4.1.1.49'])]"
1AZY,3.0,X-RAY DIFFRACTION,10.1006/JMBI.1998.1941,,"{'A': ['P07650'], 'B': ['P07650']}","['A', 'B']",9698549,P 1 21 1,24-NOV-97,"[('A', ['2.4.2.4']), ('B', ['2.4.2.4'])]"
1B0A,2.56,X-RAY DIFFRACTION,,,{'A': ['P24186']},['A'],10386884,I 2 2 2,06-NOV-98,
